,Unnamed: 0,Rank,Title,Status,Study Results,Conditions,Interventions,Locations,URL,field1,inclusion_creteria,field2,exclusion_creteria
1061,1061,1062,At-Home COVID-19 Antibody Test Usability Assessment & Behavior Change Study,Recruiting,No Results Available,COVID19|COVID-19|Coronavirus,Device: Premier Biotech COVID-19 IgG/IgM Rapid test Cassette,"ProofPilot Online App (https://p.proofpilot.com), New York, New York, United States",https://ClinicalTrials.gov/show/NCT04393961,Inclusion Criteria:,"Reside and Currently in New York City
Does not have a blood clotting disease
Is not abnormally queasy about taking a blood sample
Not on any blood thinning medications
Able to consent
Willingness to take a blood sample
Confirmed of highly likely past infection with COVID-19 over 14 days ago and fully recovered",,
1067,1067,1068,Neonatal Complications of Coronavirus Disease (COVID-19),Recruiting,No Results Available,Neonatal COVID-19 Disease,Other: No intervention - exposure is to COVID-19,"Imperial College, London, United Kingdom",https://ClinicalTrials.gov/show/NCT04386109,Inclusion Criteria:,"
Any baby:

That has a diagnosis of COVID-19 made on a sample taken before 29 days of age and receives inpatient care for COVID-19 (this includes postnatal ward, neonatal unit, paediatric inpatient wards, PICU) OR

Where the mother had confirmed COVID-19 at the time of birth or suspected COVID-19 at the time of birth that has subsequently been confirmed, and the baby was admitted for neonatal care
Exclusion Criteria:



That has a diagnosis of COVID-19 made on a sample taken before 29 days of age and receives inpatient care for COVID-19 (this includes postnatal ward, neonatal unit, paediatric inpatient wards, PICU) OR

Where the mother had confirmed COVID-19 at the time of birth or suspected COVID-19 at the time of birth that has subsequently been confirmed, and the baby was admitted for neonatal care
Exclusion Criteria:
",,
1070,1070,1071,Collection of Coronavirus COVID-19 Outbreak Samples in New South Wales,Recruiting,No Results Available,COVID,Other: Biological sample and clinical data collection,"NSW Health Pathology, Randwick, New South Wales, Australia|Prince of Wales Hospital, Randwick, New South Wales, Australia|Sydney Children's Hospital, Randwick, New South Wales, Australia|Blacktown Hospital, Blacktown, Australia|Royal Prince Alfred Hospital, Camperdown, Australia|St Vincent's Hospital, Darlinghurst, Australia|Northern Beaches Hospital, Frenchs Forest, Australia|Royal North Shore Hospital, Saint Leonards, Australia|Westmead Hospital, Westmead, Australia",https://ClinicalTrials.gov/show/NCT04383652,Inclusion Criteria:,"
Main cohort

Diagnosed with CoV-SARS-2 infection
16 years of age or older
Have provided informed consent Paediatric cohort


Diagnosed with CoV-SARS-2 infection
Less than 16 years of age

Informed consent provided by parent or caregiver
Exclusion Criteria:
Main cohort



15 years of age or younger
Inability or unwillingness to provide informed consent or abide by the requirements of the study Paediatric cohort


16 years of age or older
Inability or unwillingness of parent or caregiver to provide informed consent or abide by the requirements of the study -


Diagnosed with CoV-SARS-2 infection
16 years of age or older
Have provided informed consent Paediatric cohort
Diagnosed with CoV-SARS-2 infection
Less than 16 years of age

Informed consent provided by parent or caregiver
Exclusion Criteria:
Main cohort

15 years of age or younger
Inability or unwillingness to provide informed consent or abide by the requirements of the study Paediatric cohort
16 years of age or older
Inability or unwillingness of parent or caregiver to provide informed consent or abide by the requirements of the study -",,
1173,1173,1174,Clinical Characteristics of Coronavirus Disease 2019 (COVID-19) in Pregnancy: The Italian Registry on Coronavirus in Pregnancy.,Recruiting,No Results Available,Infection Viral,Other: pregnant women with laboratory-confirmed 2019-n-CoV,"University of Naples Federico II, Napoli, Italy",https://ClinicalTrials.gov/show/NCT04315870,Inclusion Criteria:,pregnant women with laboratory-confirmed 2019-n-CoV,,
1199,1199,1200,Safety and Efficacy Study of rEV131 in Allergic Rhinitis,Unknown status,No Results Available,Hay Fever,Drug: topical nasal rEV131,"Diagnostics Research Group, San Antonio, Texas, United States|Sylvana Research Associates, San Antonio, Texas, United States",https://ClinicalTrials.gov/show/NCT00247520,Inclusion Criteria:,"
a) Have a known past history of allergic rhinitis including allergy to ragweed pollen.
b) Able and willing to give informed consent. c) Able and willing to follow all study related instructions. d) Able and willing to make all required visits. e) Aged between 18 and 80 years. f) Willing to avoid prohibited medications (see below). g) Has met at least one of the endpoints to allergen challenge at Visit 1

Total symptom score of at least 6 OR

≥ 30% reduction in nasal volume in at least one side of the nose as measured by acoustic rhinometry AND total symptom score of at least 4.
h) Has met endpoint to allergen challenge at Visit 2: Total symptom score of at least 4 from a possible total of 12.
Exclusion Criteria:



Total symptom score of at least 6 OR

≥ 30% reduction in nasal volume in at least one side of the nose as measured by acoustic rhinometry AND total symptom score of at least 4.
h) Has met endpoint to allergen challenge at Visit 2: Total symptom score of at least 4 from a possible total of 12.
Exclusion Criteria:


a) Patients with known exaggerated immuogenicity responses including severe asthma or peanut allergy.
b) Patients with known allergy to ticks or severe reaction to arthropod venom (e.g. bee or wasp venom).
c) Patients with known chronic sinusitis, deviated nasal septum or nasal polyposis.
d) Patients having a total Baseline symptom score of >4 at Visit 1 (ie before the first nasal washout).
e) Patients known or found to be allergic to pollens prevalent in the trial site locality during the period of the study (e.g. mountain cedar).
f) Patients who have taken systemic or topical corticosteroids, long acting antihistamines or immunosuppressives within 4 weeks of selection (V1) or who take them within the course of the trial. Loratidine may not be taken within 10 days of entry. Short acting antihistamines may not be taken within 72 hours of entry except as comfort medication following nasal allergen challenge (oral antihistamines only). Patients excluded from the study for non-compliance with regard to prohibited medications but who have received one or more doses of the test medications will be included in the safety analysis.
",,
1167,1167,1168,The Ariel University Survey on Dietary Changes and Anxiety During the Coronavirus Pandemic,Recruiting,No Results Available,Dietary Habits|Anxiety,,"Ariel University, Ariel, Israel",https://ClinicalTrials.gov/show/NCT04353934,Inclusion Criteria: All adult individuals (aged 18 or older) who see and elect to respond to the survey will be included.,,"Exclusion Criteria: Subjects who indicate that their age is younger than 18 years, and those who do not provide informed consent will be excluded.",
1138,1138,1139,COVID-19 and Pregnancy Outcomes,Recruiting,No Results Available,Coronavirus Infection|Pregnancy Complications|Vertical Transmission of Infectious Disease|Breastfeeding|Neonatal Infection,Diagnostic Test: RT PCR SARS-CoV-2,"Nova Medical School - UNL, Lisbon, Portugal",https://ClinicalTrials.gov/show/NCT04416373,Inclusion Criteria: Pregnant women infected with Sars-Cov-2. Delivery at Portuguese maternities.,,-,
731,731,732,Canakinumab to Reduce Deterioration of Cardiac and Respiratory Function Due to COVID-19,Recruiting,No Results Available,COVID-19|SARS-CoV 2,Drug: Canakinumab Injection 600mg|Drug: Canakinumab Injection 300mg|Drug: Placebos,"Cleveland Clinic, Cleveland, Ohio, United States",https://ClinicalTrials.gov/show/NCT04365153,Inclusion Criteria: Subjects eligible for inclusion in this study must meet all of the following criteria:,"Written informed consent must be obtained before any assessment is performed
Hospitalized due to COVID-19 infection
Documented SARS-CoV2 acute myocardial injury: Defined as upper respiratory tract specimen positive for COVID-19 AND Troponin T greater than 99th percentile upper reference range without signs or symptoms of acute myocardial ischemia
NT-proBNP greater than the age-adjusted upper reference limit
Receiving current standard therapy
C-reactive protein (CRP) > 50 mg/L",Exclusion Criteria: Subjects meeting any of the following criteria are not eligible for inclusion in this study.,"Alternative explanation for acute cardiac injury (Type I or Type II MI according to 4th Universal Definition of Myocardial Infarction, which in addition to a rise and fall of tropnonin above the 99th percentile upper reference limit, includes symptoms of acute myocardial ischemia, new ischemic ECG changes, development of pathologic Q waves, and imaging evidence of damage in a pattern consistent with an ischemic etiology)
Chronic Systolic Heart Failure with EF<35%
Age < 18 years-old
Uncontrolled systemic bacterial or fungal infection
Concomitant viral infection (e.g., Influenza or other respiratory virus)
Pregnant. Breast-feeding women are eligible with the decision to continue or discontinue breast-feeding during therapy taking into account the risk of infant exposure, the benefits of breast-feeding to the infant, and benefits of treatment to the mother.
On mechanical circulatory support
On mechanical ventilation for greater than 48 hours
Resuscitated cardiac arrest
Has a known hypersensitivity to canakinumab or any of its excipients
Neutrophil count <1000/mm3
Has a history of myeloproliferative disorder or active malignancy receiving chemotherapy
Known active tuberculosis or history of incompletely treated tuberculosis
Current treatment with immunosuppressive agents
Chronic prednisone use >10 mg/daily (for more than 3 weeks prior to admission)
Has a history of solid-organ or bone marrow transplant
Severe pre-existing liver disease with clinically significant portal hypertension
End-stage renal disease on chronic renal replacement therapy
Enrollment in another investigational study using immunosuppressive therapy
In the opinion of the investigator and clinical team, should not participate in the study
If male and sexually active, must have documented vasectomy or must practice birth control and not donate sperm during the study and for 3 months after study drug administration.

Women of child-bearing potential, defined as all women physiologically capable of becoming pregnant, unless they are using highly effective methods of contraception during dosing of investigational drug. Such methods include:

Total abstinence (when this is in line with the preferred and usual lifestyle of the subject. Periodic abstinence (e.g., calendar, ovulation, symptothermal, post-ovulation methods) and withdrawal are not acceptable methods of contraception
Female sterilization (have had surgical bilateral oophorectomy with or without hysterectomy), total hysterectomy, or bilateral tubal ligation at least six weeks before taking study treatment. In case of oophorectomy alone, only when the reproductive status of the woman has been confirmed by follow up hormone level assessment
Male sterilization (at least 6 months prior to screening). For female subjects on the study, the vasectomized male partner should be the sole partner for that subject
Use of oral, (estrogen and progesterone), injected or implanted hormonal methods of contraception or placement of an intrauterine device (IUD) or intrauterine system (IUS), or other forms of hormonal contraception that have comparable efficacy (failure rate <1%), for example hormone vaginal ring or transdermal hormone contraception


Total abstinence (when this is in line with the preferred and usual lifestyle of the subject. Periodic abstinence (e.g., calendar, ovulation, symptothermal, post-ovulation methods) and withdrawal are not acceptable methods of contraception
Female sterilization (have had surgical bilateral oophorectomy with or without hysterectomy), total hysterectomy, or bilateral tubal ligation at least six weeks before taking study treatment. In case of oophorectomy alone, only when the reproductive status of the woman has been confirmed by follow up hormone level assessment
Male sterilization (at least 6 months prior to screening). For female subjects on the study, the vasectomized male partner should be the sole partner for that subject
Use of oral, (estrogen and progesterone), injected or implanted hormonal methods of contraception or placement of an intrauterine device (IUD) or intrauterine system (IUS), or other forms of hormonal contraception that have comparable efficacy (failure rate <1%), for example hormone vaginal ring or transdermal hormone contraception"
801,801,802,Fibrinolytic Therapy to Treat ARDS in the Setting of COVID-19 Infection,Recruiting,No Results Available,Severe Acute Respiratory Syndrome|Respiratory Failure|Acute Respiratory Distress Syndrome,Drug: Alteplase 50 MG [Activase]|Drug: Alteplase 100 MG [Activase],"Denver Health Medical Center, Denver, Colorado, United States",https://ClinicalTrials.gov/show/NCT04357730,"Inclusion Criteria: We will include adult patients ages 18-75 years old with known or suspected COVID-19 infection with a PaO2/FiO2 ratio < 150 or inferred PaO2/FiO2 ratio from SpO2 if ABG is unavailable (Table) persisting for > 4 hours despite maximal mechanical ventilation management according to each institution's ventilation protocols (at least FiO2>= 60% and PEEP >=10cmH2O), and a neurological exam without focal signs or new deficits at time of enrollment (if patient is on paralytics, patient has been aroused sufficiently to allow a neurological examination to exclude new focal deficits or has MRI/CT scan in the last 4.5 hours with no evidence of stroke. Finally, patients must be on the ventilator for <=10 days to be eligible. Based on experience with critically ill patients, longer ventilation time may be associated with increased risk of bleeding. Patients will be enrolled based on clinical features, without consideration of language (using hospital interpreters and translated consent), race/ethnicity, or gender. A neurological exam or CT/MRI scan to demonstrate no evidence of an acute stroke is needed due to a recent case-report of large-vessel stroke as a presenting feature of COVID-19 in young individuals.",,"
Active bleeding
Acute myocardial infarction or history of myocardial infarction within the past 3 weeks or cardiac arrest during hospitalization
Hemodynamic instability with Noradrenaline >0.2mcg/Kg/min
Acute renal failure requiring dialysis
Liver failure (escalating liver failure with total Bilirubin > 3 mg/dL)
Cardiac tamponade
Bacterial endocarditis
Severe uncontrolled hypertension defined as SBP>185mmHg or DBP>110mmHg
CVA (stroke), history of severe head injury within prior 3 months, or prior history of intracranial hemorrhage
Seizure during pre-hospital course or during hospitalization for COVID-19
Diagnosis of brain tumor, arterio-venous malformation (AVM) or ruptured aneurysm
Currently on ECMO
Major surgery or major trauma within the past 2 weeks
GI or GU bleed within the past 3 weeks
Known bleeding disorder
Arterial puncture at a non-compressible site within the past 7 days
Lumbar puncture within past 7 days
Pregnancy
INR > 1.7 (with or without concurrent use of warfarin)
Platelet count < 100 x 109/L or history of HITT
Fibrinogen < 300mg/dL
Known abdominal or thoracic aneurysm
History of CNS malignancy or CNS metastasis within past 5 years
History of non-CNS malignancy within the past 5 years that commonly metastasizes to the brain (lung, breast, melanoma)
Prisoner status
",
724,724,725,Preventing COVID-19 Complications With Low- and High-dose Anticoagulation,Recruiting,No Results Available,COVID|Sars-CoV2,Drug: Enoxaparin,"Geneva University Hospitals, Geneva, Switzerland",https://ClinicalTrials.gov/show/NCT04345848,"Inclusion Criteria: adult patient with COVID-19 infections, admitted to:","an acute non-critical medical ward with admission D-dimer levels >1,000ng/mL, or
an acute critical ward (ICU, intermediate care unit)",Exclusion Criteria:,"ongoing or planned therapeutic anticoagulation for any other indication
contra-indication to therapeutic anticoagulation
hypersensitivity to heparin
personal history of heparin-induced thrombocytopenia
suspected or confirmed bacterial endocarditis
bleeding events or tendency due to a suspected or confirmed hemostatic bleeding disorder
organic lesion prone to bleeding
platelet count <50G/L, Hb level <80g/L
ongoing or recent (<30 days) major bleeding, ischemic stroke, trauma, surgery
use of dual antiplatelet therapy
pregnancy
bodyweight <40kg or >150kg.
end of life care setting
unwillingness to consent
ongoing participation in a COVID-19 randomized clinical trial testing another therapeutic intervention"
707,707,708,Immune Changes in Severe COVID-19 Pulmonary Infections,"Active, not recruiting",No Results Available,SARS-CoV-2|Immune System Disorder,,"Centre Hospitalier Universitaire NANCY, Vandoeuvre-les-Nancy, France",https://ClinicalTrials.gov/show/NCT04386395,Inclusion Criteria: confirmed COVID-19,"a positive RT- PCR,
a highly suggestive thoracic CTScan,
severe hypoxemia",Exclusion Criteria:,none
720,720,721,Echocardiography in Critically-ill Patients With COVID-19 Pneumonia,Enrolling by invitation,No Results Available,COVID|Sars-CoV2,,"University Hospital Ambroise Pare, Boulogne-Billancourt, Hauts De Seine, France",https://ClinicalTrials.gov/show/NCT04414410,Inclusion Criteria: patients admitted in the ICU for pneumonia related to SARS COV2 and who had at least 1 critical care echocardiography during the first 28 days.,,Exclusion Criteria: Patients who did not have any critical care echocardiography during the first 28 days of the ICU stay.,
117,117,118,IMATINIB IN COVID-19 DISEASE IN AGED PATIENTS.,Not yet recruiting,No Results Available,SARS Virus,Drug: Experimental drug,"CHU Bordeaux, Bordeaux, France|CH de Versailles, Le Chesnay, France",https://ClinicalTrials.gov/show/NCT04357613,"Inclusion Criteria:. Patient aged > 70y 2. Patient with a documented COVID-19 disease by SARS-CoV-2 RT-PCR (if no test is available, suspected COVID-19 disease on CT SCAN).",,Exclusion Criteria:,"Patient in palliative care
Severe COVID-19 disease (SpO2 ≤ 94% with O2 ≥ 5 l/min)
Contra-indication to imatinib
Therapy with Warfarin (Heparin allowed)
Stage II to IV congestive heart failure (CHF) as determined by the New York Heart Association (NYHA)
Peripheral edema grade > 2
Known HBV, HBC or HIV infection
Known hepatic failure
Patient under legal protection"
489,489,490,"Convalescent Plasma for Patients With COVID-19: A Randomized, Open Label, Parallel, Controlled Clinical Study",Not yet recruiting,No Results Available,Coronavirus|Coronavirus Infection,Drug: Plasma|Drug: Hydroxychloroquine,"Universidad del Rosario, Bogota, Cundinamarca, Colombia",https://ClinicalTrials.gov/show/NCT04332835,Inclusion Criteria:Fulfilling all the following criteria,"Aged between 18 and 60 years, male or female.
Hospitalized participants with diagnosis of COVID 19 by Real Time - Polymerase Chain Reaction.
Moderate cases according to the official guideline ""Pneumonia Diagnosis and Treatment Scheme for Novel Coronavirus Infection (Trial Version 6)"".
Confusion, Urea, Respiratory rate, Blood pressure-65 (CURB-65) >= 2.
Sequential Organ Failure Assessment score (SOFA) < 6.
Ability to understand and the willingness to sign a written informed consent document.",Exclusion Criteria:,"Female subjects who are pregnant or breastfeeding.
Patients with prior allergic reactions to transfusions.
Critical ill patients in intensive care units.
Patients with surgical procedures in the last 30 days.
Patients with active treatment for cancer (Radiotherapy or Chemotherapy).
HIV diagnosed patients with viral failure (detectable viral load> 1000 copies / ml persistent, two consecutive viral load measurements within a 3 month interval, with medication adherence between measurements after at least 6 months of starting a new regimen antiretrovirals).
Patients who have suspicion or evidence of coinfections.
End-stage chronic kidney disease (Glomerular Filtration Rate <15 ml / min / 1.73 m2).
Child Pugh C stage liver cirrhosis.
High cardiac output diseases.
Autoimmune diseases or Immunoglobulin A nephropathy.
Patients have any condition that in the judgement of the Investigators would make the subject inappropriate for entry into this study."
490,490,491,Convalescent Plasma for Patients With COVID-19: A Pilot Study,Not yet recruiting,No Results Available,Coronavirus|Coronavirus Infection,Drug: Plasma,"Universidad del Rosario, Bogota, Cundinamarca, Colombia",https://ClinicalTrials.gov/show/NCT04332380,Inclusion Criteria:Fulfilling all the following criteria,"Aged between 18 and 60 years, male or female.
Hospitalized participants with diagnosis for COVID 19 by Real Time - Polymerase Chain Reaction.
Without treatment.
Moderate cases according to the official guideline ""Pneumonia Diagnosis and Treatment Scheme for Novel Coronavirus Infection (Trial Version 6)"".
Confusion, Urea, Respiratory rate, Blood pressure-65 (CURB-65) >= 2.
Sequential Organ Failure Assessment score (SOFA) < 6.
Ability to understand and the willingness to sign a written informed consent document.",Exclusion Criteria:,"Female subjects who are pregnant or breastfeeding.
Patients with prior allergic reactions to transfusions.
Critical ill patients in intensive care units.
Patients with surgical procedures in the last 30 days.
Patients with active treatment for cancer (Radiotherapy or Chemotherapy).
HIV diagnosed patients with viral failure (detectable viral load> 1000 copies / ml persistent, two consecutive viral load measurements within a 3 month interval, with medication adherence between measurements after at least 6 months of starting a new regimen antiretrovirals).
Patients who have suspicion or evidence of coinfections.
End-stage chronic kidney disease (Glomerular Filtration Rate <15 ml / min / 1.73 m2).
Child Pugh C stage liver cirrhosis.
High cardiac output diseases.
Autoimmune diseases or Immunoglobulin A nephropathy.
Patients have any condition that in the judgement of the Investigators would make the subject inappropriate for entry into this study."
230,230,231,Contamination During Removal of Two Different Personal Protective Systems,Completed,No Results Available,Severe Acute Respiratory Syndrome,Procedure: Powered Air purifying respirator,"Kingston General Hospital, Kingston, Ontario, Canada",https://ClinicalTrials.gov/show/NCT00150475,"Inclusion Criteria:Participants will be recruited from the Department of Anesthesiology attending and resident staff, other physician groups requiring PAPR training, and the Department of Respiratory Therapy.",,Exclusion Criteria:Individuals will be excluded if they refuse to provide written consent to participate in the study,
341,341,342,Performance Evaluation of BCG Vaccination in Healthcare Personnel to Reduce the Severity of SARS-COV-2 Infection,Not yet recruiting,No Results Available,COVID-19,Biological: vaccine BCG|Other: Placebo,"Program for Research and Control in Tropical Diseases - PECET, Medellín, Antioquia, Colombia",https://ClinicalTrials.gov/show/NCT04362124,Inclusion criteria,"Men and women
Between ≥18 and ≤ 65 years old
Healthcare workers (doctors, nurses and nursing assistants) from clinics and hospitals in Medellín, who are directly involved in the care of patients with COVID-19
A negative test for COVID-19 and being asymptomatic at baseline
Are able and willing to give signed informed consent (Subjects whom the investigator believes are able to understand and are willing to comply with the requirements of the protocol)",Exclusion Criteria,"Have a previous diagnosis (probable or confirmed) of COVID-19
Immunosuppression (pharmacological or clinical)
Are taking immunosuppressive medications
Pregnant or lactating women; or women of childbearing age who do not agree to take contraceptives during the month following vaccination.
Have received any live or replicative vaccine one month before the time of screening.
Permanent teleworking activity.
History of active tuberculosis
Currently are receiving Hydroxychloroquine, Chloroquine, Lopinavir/ritonavir, Tocilizumab, or Azithromycin.
Known or suspected history of hypersensitivity to vaccines.
Patients who do not wish to attend or who cannot keep up with the follow-up visits."
951,951,952,COVID-19 Pneumonitis Low Dose Lung Radiotherapy (COLOR-19),Recruiting,No Results Available,COVID-19,Radiation: Single fraction whole lung radiotherapy,"Radiation Oncology Department, ASST SpedaliCivili, Brescia, Brescia, Italy",https://ClinicalTrials.gov/show/NCT04377477,Inclusion criteria,"Age ≥ 50 years
Patients with confirmed diagnosis of SARS-Cov2 infection by RT-PCR on nasopharyngeal swab and / or bronchoalveolar lavage (BAL)
Patient with Brescia Covid Respiratory Severity Scale (BCRSS) score 2-3
Suggestive picture finding for interstitial pneumonia on chest X-ray and / or chest CT (optional)

At least 3 of the following laboratory criteria:

PCR> 5 times the maximum limit of the normal value
Ferritin> 500 ng / ml
lactate dehydrogenase (LDH) > 2 times the maximum limit of the normal value
D-dimer> 3 times the maximum limit of the normal value
Aspartate aminotransferase (AST)> 2 times the maximum limit of the normal value
Total lymphocytes <1000 / ml


PCR> 5 times the maximum limit of the normal value
Ferritin> 500 ng / ml
lactate dehydrogenase (LDH) > 2 times the maximum limit of the normal value
D-dimer> 3 times the maximum limit of the normal value
Aspartate aminotransferase (AST)> 2 times the maximum limit of the normal value
Total lymphocytes <1000 / ml
Ability to understand and sign informed consent
Ability to acquire and maintain the set-up necessary for the delivery of radiotherapy treatment
A negative pregnancy test will be required of patients of childbearing age before starting radiotherapy treatment. Patients with reproductive potential of both sexes will have to agree to use an effective contraceptive method for at least 6 months from the date of treatment.",Exclusion Criteria:,"Age <50 years
Brescia Covid Respiratory Severity Scale (BCRSS) score greater than 3
Patients undergoing invasive mechanical ventilation
Patients with active autoimmune systemic diseases
Patients with active infections that are not responsive to current treatment
Patients with a positive pregnancy test
Impossibility to maintain the set-up necessary for radiotherapy treatment
Other concomitant treatments for COVID-19 do not represent an exclusion criterion, however they must be reported (specifying the starting date and dosage)"
109,109,110,Lung Irradiation for COVID-19 Pneumonia,Not yet recruiting,No Results Available,SARS-CoV 2,Radiation: Phase 1|Radiation: Phase 2,,https://ClinicalTrials.gov/show/NCT04393948,Inclusion criteria,"Diagnosis of SARS-CoV-2 infection by RT-PCR or another approved laboratory test ≤ 3 days before enrollment or ≤ 14 days before enrollment with progressive disease suggestive of ongoing SARS-CoV-2 infection; retesting allowed
Current hospitalization for ≤ 14 days with SARS-CoV-2 infection at the time of enrollment
Use of supplemental oxygen or oxygen saturation ≤ 94% on room air
Age ≥ 40
May receive antiviral medication (e.g., remdesivir, lopinavir/ritonavir, oseltamivir, favipiravir), antibiotics (e.g., azithromycin), chloroquine, hydroxychloroquine, corticosteroids, statins, anticoagulation, antiplatelet agents (e.g., aspirin) and/or convalescent plasma from recovered individuals off study and/or on study if permitted by the other protocol",Exclusion criteria,"Prior or planned treatment with interleukin inhibitors (e.g., tocilizumab, canakinumab, sarilumab) or TNF-α inhibitors within 14 days of enrollment
Prior lobectomy or pneumonectomy
Prior thoracic radiotherapy with cumulative lung V20 > 15% to either lung within 1 year of enrollment, or any radiotherapy resulting in a maximum lung dose of 100 cGy or higher within 14 days of enrollment
Prior chemotherapy or other systemic therapy with potential for pulmonary toxicity or radiosensitization within 14 days or 5 half-lives, whichever is greater, of enrollment, e.g., bleomycin or gemcitabine
Prior cancer immunotherapy with an immune checkpoint inhibitor within 60 days of enrollment
Severe pre-existing heart disease, e.g., New York Heart Association (NYHA) functional class ≥ 3 congestive heart failure
History of bone marrow or solid organ transplantation
Known history of autoimmune collagen vascular disease, e.g., scleroderma
Known hereditary syndrome with increased sensitivity to ionizing radiation, e.g., ataxia-telangiectasia or Fanconi anemia
Pregnancy
Inability to be positioned supine and flat for radiation planning and delivery
Inability to provide informed consent or lack of an authorized representative who can provide informed consent"
1242,1242,1243,Frailty in Elderly Patients With COVID-19,Recruiting,No Results Available,Covid19,Other: Relation between frailty and clinical outcomes in elderly patients with COVID-19.,"ASST Monza-Ospedale San Gerardo, Monza, Italy",https://ClinicalTrials.gov/show/NCT04412265,Inclusion criteria,"Diagnosis of COVID related pneumonia
Informed consent freely granted",Exclusion criteria,
1252,1252,1253,COVID-19 Ozanimod Intervention Study,Not yet recruiting,No Results Available,COVID-19,Drug: Ozanimod|Other: Standard of care,,https://ClinicalTrials.gov/show/NCT04405102,Inclusion criteria,"Confirmed COVID-19 (positive polymerase chain reaction (PCR) for COVID-19 from any specimen)
Patients older than 18 years old and younger than 75 years old.
BMI higher than 20 but lower than 35
Patients with hypoxemia related to viral pneumonia (COVID-19) requiring oxygen therapy below 6 L/min (or fraction of inspired oxygen (FiO2) < 0.50) (to maintain SpO2 above 92%) without criteria for immediate intubation or need for other respiratory supports (CPAP, non-invasive ventilation of high flow nasal therapy).
Patients hospital admission < 72 hours",Exclusion criteria Medical conditions,"No SpO2 signal available
Patient agitation
Severe untreated sleep apnea
History of or currently active primary or secondary immunodeficiency
Recent (within the last 6 months) occurrence of myocardial infarction, unstable angina, stroke, transient ischemic attack, decompensated heart failure requiring hospitalization, class III/IV heart failure.
Presence of Mobitz type II second-degree or third-degree atrioventricular block, sick sinus syndrome, or sinoatrial block, unless patient has a functioning pacemaker.
Pregnancy, lactation, or a positive serum beta human chorionic gonadotropin measured during screening."
63,63,64,COVID MED Trial - Comparison Of Therapeutics for Hospitalized Patients Infected With SARS-CoV-2,Recruiting,No Results Available,SARS-CoV-2 Infection,Drug: lopinavir/ritonavir|Drug: Hydroxychloroquine Sulfate|Drug: Losartan|Drug: Placebos,"Bassett Medical Center, Cooperstown, New York, United States",https://ClinicalTrials.gov/show/NCT04328012,Inclusion criteria,"Hospitalized patient
Laboratory confirmation of SARS-CoV-2 infection </= 72 hr prior to randomization
Randomization within 72 hr of hospital admission
Negative pregnancy test for reproductive age women
Patient or LAR able to provide informed consent","Exclusion criteria, general (all groups)","End stage renal disease (ESRD) NOT undergoing renal replacement therapy
Severe hepatic insufficiency (LFTs > 5 times the upper limit of normal or known ESLD or cirrhosis)
Nausea/vomiting or aspiration risk precluding oral medications unless can be given by gastric tube
Use of another SARS-CoV-2 directed medication empirically or within another clinical trial within the prior week
Pregnancy or breast feeding
Absence of dependable contraception in reproductive age women
Inability to obtain or declined informed consent"
232,232,233,Different Susceptibility to SARS CoV-2 Infection Among Health Care Workers Highly Exposed to COVID-19.,Recruiting,No Results Available,"Health Care Worker Patient Transmission|Receptor Site Alteration|Susceptibility, Disease|Immune Response",Diagnostic Test: Susceptibility to infection,"Hospital Ramon y Cajal, Madrid, Spain",https://ClinicalTrials.gov/show/NCT04402827,Inclusion criteria,"HCW older than 18 years
Highly exposed to COVID-19 according to the definition
Negative (cases) or positive (controls) serology against SARS-CoV-2 infection Exclusion criteria
Presence of any disease / treatment which could alter the susceptibility (corticoid therapy, chemotherapy, monoclonal antibodies)
Pregnancy","High exposure definition: direct and continued care of COVID-19 diagnosed patients for 2 weeks or more, without aerosol- generating procedures, with inappropriate personal protective equipment (PPE), or unprotected exposure to patients with COVID-19 during aerosol-generating procedures.",
949,949,950,Epidemiological Characteristics of COVID-19 in Patients With MS or NMO,Recruiting,No Results Available,Multiple Sclerosis|NMO Spectrum Disorder|COVID-19,Other: Evaluation of the epidemiological characteristics of coronavirus infection (SARS-CoV-2),"Hôpital Pitié Salpétrière, Paris, France",https://ClinicalTrials.gov/show/NCT04355611,Inclusion criteria,"Patient with MS or NMO

at least one of the following four criteria:

COVID + biologically confirmed
Typical ground glass opacity on thoracic CT-scan in epidemic areas
Anosmia or ageusia of sudden onset in the absence of rhinitis or nasal obstruction
Typical symptoms (triad associating cough, fever, asthenia) in epidemic zone


COVID + biologically confirmed
Typical ground glass opacity on thoracic CT-scan in epidemic areas
Anosmia or ageusia of sudden onset in the absence of rhinitis or nasal obstruction
Typical symptoms (triad associating cough, fever, asthenia) in epidemic zone
Non opposition of the patient to the use of these data or non opposition of the confidential counselor / parent / relative (if the patient is unable to give his non-opposition, with collection as soon as possible of the non opposition of the patient) or non opposition of the 2 holders of parental authority (for minor patients)",Non-inclusion criteria,
