,Inclusion Criteria,Exclusion Criteria
383,"Patients with histologically or cytologically documented squamous or non-squamous NSCLC who either have stage IIIb or stage IIIc disease who are not candidates for treatment with definitive concurrent chemo-radiation or have stage IV disease. Patients must have PD after receiving one prior line of chemotherapy treatment for advanced NSCLC.
Availability of an archival or on-study obtained formalin-fixed, paraffin-embedded tumor tissue biopsy sample
Biopsy evaluable for expression of PD-L1 as determined by a PD-L1 Immunohistochemistry (IHC) pharma diagnostic test (pharmDx) assay performed by a central laboratory
At least 1 radiographically measureable lesion by computed tomography (CT) per RECIST 1 criteria
Eastern Cooperative Oncology Group (ECOG) performance status of ≤1
Note: Other protocol defined Inclusion criteria apply","Patients who have never smoked, defined as smoking ≤100 cigarettes in a lifetime
Active or untreated brain metastases or spinal cord compression
Patients with tumors tested positive for epidermal growth factor receptor (EGFR) gene mutations, anaplastic lymphoma kinase (ALK) gene translocations, or C-ros oncogene receptor tyrosine kinase (ROS1) fusions
Encephalitis, meningitis, or uncontrolled seizures in the year prior to randomization
History of interstitial lung disease (eg, idiopathic pulmonary fibrosis or organizing pneumonia), or active, noninfectious pneumonitis that required immune-suppressive doses of glucocorticoids to assist with management, or of pneumonitis within the last 5 years
Ongoing or recent evidence of significant autoimmune disease that required treatment with systemic immunosuppressive treatments, which may suggest a risk of immunerelated treatment-emergent adverse events (irTEAEs)
Patients with a condition requiring corticosteroid therapy (>10 mg prednisone/day or equivalent) within 14 days of randomization
Note: Other protocol defined Exclusion criteria apply"
384,"Aged at least 18 years
Documented evidence of Stage IV NSCLC
No sensitizing EGFR mutation and ALK rearrangement
PD-L1 high expression
Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1","Prior chemotherapy or any other systemic therapy for advanced NSCLC
Prior exposure to immune-mediated therapy, including, but not limited to, other anti-cytotoxic T-lymphocyte-associated antigen 4 (CTLA-4), anti-programmed cell death1 (PD-1), anti-programmed cell death ligand 1 (PD-L1), or anti PD-L2 antibodies, excluding therapeutic anticancer vaccines
Brain metastases or spinal cord compression unless the patient is stable and off steroids for at least 14 days prior to start of study treatment
Mixed small-cell lung cancer and NSCLC histology, sarcomatoid variant
Active or prior documented autoimmune or inflammatory disorders (e.g., colitis or Crohn's disease]"
385,"Aged 18 years or older
Pathologically confirmed of advanced and/or metastatic stage IIIb/IV non-small cell carcinoma of lung
Activating EGFR mutation (exon 19 deletion, L858R, G719X, L861X)
Presence of EGFR activating mutation and absence of EGFR T790M in the tumour associated with the latest disease progression. Only applicable in Part B
Must have adequate fresh or archival tumour tissue at the late disease progression immediately prior to the study entry
Part A: Progression of disease (RECIST 1) while on continuous treatment with single EGFR TKI or for histology other than adenocarcinoma and without prior EGFR TKI treatment: progression of disease (RECIST v1) on platinum-based chemotherapy. Part B: Progression of disease (RECIST v1) while on continuous treatment with single agent of the second generation irreversible EGFR TKI (e.g. afatinib or dacomitinib)
No intervening systemic therapy between cessation of EGFR TKI and study treatment
Patient must have measurable disease per RECIST 1 presented after tumour biopsy for the late disease progression
Eastern Cooperative Oncology Group (ECOG) performance score 0 or 1
1Life expectancy of >= 3 months
1Fasting plasma glucose < 9 mmol/L (< 160mg/dL) and HbA1C < 8%
1Adequate organ function
1Recovered from any previous therapy related toxicity to <= Grade 1 at study entry (except for stable sensory neuropathy <= Grade 2 and alopecia)
1Written informed consent that is consistent with ICH-GCP guidelines and local regulations
1No known potentially targetable mutation other than IGF signaling pathway or EGFR or no available treatment for potentially targetable mutation","Part A only: For patient who has been treated with afatinib: last treatment at reduced dose below the assigned dose level
Patient whose disease progressed on insufficient dose of EGFR TKI immediately prior to study in the opinion of the investigator
More than 2 prior EGFR TKI treatment regimens for Part B
Chemotherapy, biological therapy or investigational agents (except EGFR TKIs) within 4 weeks
Use of previous EGFR TKIs except afatinib within 3 days
Radiotherapy within 4 weeks prior to the start of study treatment
Active brain or subdural metastases
Meningeal carcinomatosis.
Major surgery (as judged by the investigator) within 4 weeks
1Known hypersensitivity to afatinib, monoclonal antibody
1Prior severe infusion-related reaction to a monoclonal antibody
1History or presence of clinically relevant cardiovascular abnormalities
1Female patients of childbearing potential (see Section 3) and male who are able to father a child
1Any history of or concomitant condition that, in the opinion of the investigator not to comply with the study or interfere with the evaluation of the efficacy and safety of the test drug
1Previous or concomitant malignancies at other sites, except effectively treated non-melanoma skin cancers, carcinoma in situ of the cervix, ductal carcinoma in situ or effectively treated malignancy that has been in remission for more than 3 years and is considered to be cured.
1Disease that is considered by the investigator to be rapidly progressing or life threatening such as extensive symptomatic visceral disease including hepatic involvement and pulmonary lymphangitic spread of tumour (subjects who are intended for urgent chemotherapy)
1Requiring treatment with any of the prohibited concomitant medications
1Known pre-existing interstitial lung disease (ILD)
1Any history or presence of poorly controlled gastrointestinal disorders that could affect the absorption of the study drug
2Active hepatitis B infection active hepatitis C infection and/or known HIV carrier.
2Previous treatment with agents targeting the insulin like growth factor (IGF) signalling pathway.
2Previous treatment with EGFR TKI which cannot be documented as either reversible or irreversible (Part B only)
2Part B only: Prior treatment with third generation irreversible EGFR TKI (e.g. AZD9291 or CO-1686)"
386,"Adult patients aged >=18 years with histologically or cytologically confirmed advanced nonsquamous non-small cell lung cancer (nsNSCLC). Mixed tumors should be categorized according to the predominant histology.
Note: NSCLC should be predominantly nonsquamous. Recurrent or metastatic disease (Stage IV) with an indication for therapy with paclitaxel + carboplatin + Avastin®.
Patients harboring tumors with unknown or without activating epidermal growth factor receptor (EGFR) / anaplastic lymphoma receptor tyrosine kinase (ALK) mutation maybe included provided chemotherapy is standard of care. At least one measurable lesion according to Response Evaluation Criteria in Solid Tumors (RECIST) 1 based on independent central review.
Eastern Cooperative Oncology Group (ECOG) performance status (PS) 0 or Adequate hepatic, renal, and bone marrow function:
Life expectancy > 6 months based on clinical judgment. Further inclusion criteria apply.","Prior therapy with monoclonal antibodies or small molecule inhibitors against Vascular Endothelial Growth Factor (VEGF) or VEGF receptors, including Avastin®.
Prior systemic therapy for metastatic disease. Prior systemic anticancer therapy or radiotherapy for locally advanced nsNSCLC if completed <12 months prior to Screening.
Previous malignancy other than NSCLC in the last 5 years except for basal cell cancer of the skin or pre-invasive cancer of the cervix.
Symptomatic brain metastasis. Diagnosis of small cell carcinoma of the lung, squamous cell carcinoma of the lung, NSCLC not specified (NS) or NSCLC not otherwise specified(NOS).
Any unresolved toxicity > Common Toxicity Criteria Grade 1 (except alopecia) from previous anticancer therapy (including radiotherapy).
History or evidence of inherited bleeding diathesis or coagulopathy with the risk of bleeding. Thrombotic or hemorrhagic event =< 6 months prior to Screening. Further exclusion criteria apply."
387,"Age ≥18 years
Complete resection of histologically confirmed Stage IB (tumor ≥ 4 cm) to Stage IIIA (T2-3 N0, T1-3 N1, T1-3 N2, T4 N0-1) NSCLC as per Union Internationale Contre le Cancer / American Joint Committee on Cancer, 7th edition, with negative margins, at 4-12 weeks before enrollment
If mediastinoscopy was not performed preoperatively, it is expected that, at a minimum, mediastinal lymph node systematic sampling will have occurred
Documented ALK-positive disease according to an FDA-approved and CE-marked test
Eligible to receive a platinum-based chemotherapy regimen according to the local labels or guidelines
Eastern Cooperative Oncology Group Performance Status of Grade 0 or 1
Adequate hematologic and renal function
For women of childbearing potential: agreement to remain abstinent or use contraceptive methods with a failure rate of < 1% per year during the treatment period and for at least 90 days after the last dose of alectinib or according to local labels or guidelines for chemotherapy
For men: agreement to remain abstinent or use contraceptive measures, and agreement to refrain from donating sperm for at least 90 days after the last dose of alectinib or according to local labels or guidelines for chemotherapy. Men must refrain from donating sperm during this same period
1Willingness and ability to comply with scheduled visits, treatment plans, laboratory tests, and other study procedures","Pregnant or breastfeeding, or intending to become pregnant during the study or within 90 days after the last dose of alectinib or according to local labels or guidelines for chemotherapy
Prior adjuvant radiotherapy for NSCLC
Prior exposure to systemic chemotherapy and ALK inhibitors
Stage IIIA N2 patients that, in the investigator's opinion, should receive post-operative radiotherapy treatment are excluded from the study
Known sensitivity to any component of study drug to which the patient may be randomized. This includes, but is not limited to, patients with galactose intolerance, a congenital lactase deficiency or glucose-galactose malabsorption.
Malignancies other than NSCLC within 5 years prior to enrollment, except for curatively treated basal cell carcinoma of the skin, early gastrointestinal (GI) cancer by endoscopic resection, in situ carcinoma of the cervix, ductal carcinoma in situ, papillary thyroid cancer, or any cured cancer that is considered to have no impact on disease free survival or overall survival for the current NSCLC
Any GI disorder that may affect absorption of oral medications, such as malabsorption syndrome or status post-major bowel resection
Liver disease characterized by aspartate transaminase and alanine transaminase >= 3 × upper limit of normal or impaired excretory function or synthetic function or other conditions of decompensated liver disease such as coagulopathy, hepatic encephalopathy, hypoalbuminemia, ascites, or bleeding from esophageal varices or active viral or active autoimmune, alcoholic, or other types of acute hepatitis
Japanese patients participating in the serial/intensive PK sample collection only: administration of strong/potent CYP450 3A inhibitors or inducers within 14 days prior to the first dose of study treatment and while on treatment with alectinib up to Week 3
1Any exclusion criteria based on the local labels or guidelines for chemotherapy regimen
1Patients with symptomatic bradycardia
1History of organ transplant
1Known HIV positivity or AIDS-related illness
1Any clinically significant concomitant disease or condition that could interfere with-or for which the treatment might interfere with the conduct of the study or the absorption of oral medications or that would pose an unacceptable risk to the patients in this study, in the opinion of the Principal Investigator
1Any psychological, familial, sociological, or geographical condition potentially hampering compliance with the study protocol requirements and/or follow-up procedures; those conditions should be discussed with the patient before trial entry"
388,"Age ≥18 years
Histologically or cytologically documented Stage I to II NSCLC, with clinical Stage I/II lymph node-negative (T1 to T3N0M0) disease and planned to receive definitive treatment with SBRT. Patients may be medically inoperable or are medically operable and refusing surgery or choosing to have SBRT (Stereotactic Body Radiation Therapy) as definitive therapy
Completion of SoC SBRT as definitive treatment prior to randomization
World Health Organization (WHO)/Eastern Cooperative Oncology Group (ECOG) PS of 0, 1, or 2
Life expectancy of at least 12 weeks
Body weight >30 kg
Submission of available tumor tissue sample
Adequate organ and marrow function required
Patients with central or peripheral lesions are eligible
1Staging studies must be done within 10 weeks before randomization
1Patients with a history of metachronus stage I/II (T1-T3N0M0) NSCLC treated definitively with radiation, surgery only, or surgery with adjuvant chemotherapy in whom all treatments completed >1 year prior to randomization are eligible","Mixed small cell and non-small cell cancer histology
History of allogeneic organ transplantation
History of another primary malignancy with exceptions
History of active primary immunodeficiency
Any unresolved toxicity National Cancer Institute (NCI) CTCAE Grade ≥2 from SBRT (Stereotactic Body Radiation Therapy)"
389,"Histologically or cytologically confirmed metastatic or unresectable locally advanced/metastatic NSCLC
Documented evidence of a tumor with activating EGFR mutations by local testing. Patients with exon 20 insertions are not eligible with the exception of patients with documented evidence of the exon 20 insertion A763_Y764insFQEA in the EGFR gene
Have undergone a biopsy or surgical resection of either primary or metastatic tumor tissue within 60 days of the first day of study treatment, C1D1, and have tissue available to send to sponsor laboratories or are able to undergo a biopsy during screening and provide tissue to sponsor laboratories
Measureable disease according to RECIST Version 1
Life expectancy of at least 3 months
ECOG (Eastern Cooperative Oncology Group) performance status of 0 to 1
Minimum age 18 years (in certain territories, the minimum age requirement may be higher (e.g. 20 years in Japan and Taiwan)
Adequate hematological and biological function, confirmed by defined laboratory values
Written consent on an IRB/IEC-approved Informed Consent Form (ICF) prior to any study-specific evaluation","Documented evidence of an exon 20 insertion activating mutation other than A763_Y764insFQEA in the EGFR gene
Prior treatment with cytotoxic chemotherapy for advanced NSCLC; neoadjuvant/adjuvant chemotherapy is permitted if at least 6 months has elapsed between the end of chemotherapy and randomization
Active second malignancy; i.e., patient known to have potentially fatal cancer present for which he/she may be (but not necessarily) currently receiving treatment
Patients with a history of malignancy that has been completely treated, and currently with no evidence of that cancer, are permitted to enroll in the trial provided all chemotherapy was completed > 6 months prior and/or bone marrow transplant > 2 years prior to first day of study treatment
Known pre-existing interstitial lung disease
Brain metastases
Treatment with prohibited medications less than or equal to 14 days prior to first day of study treatment
Patients who are currently receiving treatment with any medications that have the potential to prolong the QT interval if that treatment cannot be either discontinued or switched to a different medication prior to administration of study drug
Prior treatment with EGFR TKIs (e.g. erlotinib, gefitinib, neratinib, afatinib, AZD9291, or dacomitinib), rociletinib or other drugs that target mutant EGFR
1Clinically significant abnormal 12-lead ECG, QT interval corrected using Fridericia's method (QTCF) > 450 ms
1Inability to measure QT interval on ECG
1Personal or family history of long QT syndrome
1Implantable pacemaker or implantable cardioverter defibrillator
1Resting bradycardia < 55 beats/min
1Non-study related surgical procedures less than or equal to 7 days prior to administration of study drug. In all cases, the patient must be sufficiently recovered and stable before treatment administration.
1Females who are pregnant or breastfeeding
1Refusal to use adequate contraception for fertile patients (females and males) for 12 weeks after the last dose of rociletinib and 2 weeks after the last dose of erlotinib
1Presence of any serious or unstable concomitant systemic disorder incompatible with the clinical study
1Any other reason the investigator considers the patient should not participate in the study"
390,"Diagnosis of histologically or cytologically confirmed NSCLC, stage IIIb with documented malignant pleural effusion or stage IV
Immunohistochemical evidence of EGFR expression on tumor tissue
Presence of at least 1 bi-dimensionally measurable index lesion, whereby index lesions must not lie in an irradiated area","Previous exposure to monoclonal antibodies, signal transduction inhibitors or EGFR-targeting therapy
Previous chemotherapy for NSCLC
Documented or symptomatic brain metastasis
Superior vena cava syndrome contra-indicating hydration
Previous malignancy in the last 5 years except basal cell carcinoma of the skin or pre-invasive carcinoma of the cervix"
391,"Eastern Cooperative Oncology Group (ECOG) performance status 0 or 1
Histologically or cytologically confirmed, resectable Stage II, IIIA, or Select IIIB (T3N2 only) NSCLC of squamous or non-squamous histology. Staging should be based on the 8th edition of the AJCC/UICC staging system
Evaluation by an attending thoracic surgeon to confirm eligibility for an R0 resection with curative intent
Adequate pulmonary and cardiac function to undergo surgical resection
Measurable disease as defined by RECIST v1
Adequate hematologic and end organ function
Negative HIV test at screening
Negative for active HBV and HCV at screening
Adequate tissue for PD-L1 IHC assessment","Any prior therapy for lung cancer
Malignancies other than NSCLC within 5 years prior to randomization, with the exception of those with a negligible risk of metastasis or death treated expected curative outcome
Non-squamous NSCLC histology with activating ALK and EGFR mutation
Pregnant or lactating women
History of autoimmune disease
History of idiopathic pulmonary fibrosis, organizing pneumonia, drug-induced pneumonitis, or evidence of active of active pneumonitis on screening chest Computed Tomography (CT) scan
Prior treatment with cluster of differentiation 137 (CD137) agonist or immune checkpoint blockade therapies, anti-programmed-death-1 (anti-PD-1), and anti-PD-L1 therapeutic antibody
Severe infection within 4 weeks prior to randomization
Significant history of cardiovascular disease"
392,"For inclusion in the study, patients should fulfill the following criteria:
Aged at least 18 years
Documented evidence of Stage IV NSCLC
No sensitizing EGFR mutation or ALK rearrangement
No prior chemotherapy or any other systemic therapy for recurrent/metastatic NSCLC
World Health Organization (WHO) Performance Status of 0 or 1","Patients should not enter the study if any of the following exclusion criteria are fulfilled:
Mixed small-cell lung cancer and NSCLC histology, sarcomatoid variant
Brain metastases or spinal cord compression unless asymptomatic, treated and stable (not requiring steroids)
Prior exposure to Immunomodulatory therapy (IMT), including, but not limited to, other anti-cytotoxic T-lymphocyte-associated antigen 4 (CTLA-4), anti-programmed cell death1 (PD-1), anti-programmed cell death ligand 1 (PD-L1), or anti PD-L2 antibodies, excluding therapeutic anticancer vaccines
Active or prior documented autoimmune or inflammatory disorders (including inflammatory bowel disease [eg, colitis or Crohn's disease]"
393,"For inclusion in the study, patients should fulfill the following criteria:
Aged at least 18 years
Documented evidence of Stage IV NSCLC
No activating EGFR mutation or ALK rearrangement
No prior chemotherapy or any other systemic therapy for recurrent/metastatic NSCLC
World Health Organization (WHO) Performance Status of 0 or 1
No Prior exposure to Immune Mediated Therapy (IMT), including, but not limited to, other antiCTLA4, antiPD1, anti PDL1,or antiPDL2 antibodies, excluding therapeutic anticancer vaccines","Patients should not enter the study if any of the following exclusion criteria are fulfilled:
Mixed small cell lung cancer and NSCLC histology, sarcomatoid variant
Brain metastases or spinal cord compression unless the patient is stable (asymptomatic; no evidence of new or emerging brain metastases) and off steroids for at least 14 days prior to start of study treatment.
Active or prior documented autoimmune or inflammatory disorders (e.g., Crohn's disease, ulcerative colitis)"
394,"Locally advanced or metastatic non-small cell lung cancer (stage IIIB or IV by American Joint Committee on Cancer [AJCC])
Eastern Cooperative Oncology Group (ECOG) performance status 0-2
Documented ALK rearrangement based on Food and Drug Administration (FDA)-approved test
Prior treatment with crizotinib and progression according to response evaluation criteria in solid tumors version 1 (RECIST v1) criteria. Participants had to have a minimum 1-week wash-out period between the last dose of crizotinib and the first dose of study treatment. Participants can either be chemotherapy-naïve or have received at least one line of platinum-based chemotherapy
Adequate hematologic, hepatic, and renal function
Participants with brain or leptomeningeal metastases are allowed if protocol defined criteria are met
Measurable disease according to RECIST v1 prior to administration of first dose of study drug","Receipt of any other ALK inhibitors in addition to crizotinib
Receipt of any prior cytotoxic chemotherapy for ALK-positive NSCLC within 4 weeks prior to the first dose of study drug
Participants who received crizotinib or any other tyrosine kinase inhibitors need to have a minimum 1-week washout period before the first dose of study drug
Active or uncontrolled infectious diseases requiring treatment
National Cancer Institute Common Terminology Criteria for Adverse Events version 03 (NCI CTCAE v03) Grade 3 or higher toxicities due to prior therapy that have not shown improvement and are considered to interfere with current study medication
History of organ transplant
Co-administration of anti-cancer therapies other than those administered in this study
Baseline corrected Q-T interval (QTc) greater than (>) 470 milliseconds, or baseline symptomatic bradycardia (less than 45 heart beats per minute)
Pregnant or breastfeeding women
1Known Human Immunodeficiency Virus (HIV) positivity or Acquired Immunodeficiency Syndrome (AIDS)-related illness
1History of hypersensitivity to any of the additives in the alectinib formulation
1Any clinically significant concomitant disease or condition that could interfere with, or for which treatment might interfere with, the conduct of the study, or absorption of oral medications, or that would, in the opinion of the principal investigator, pose an unacceptable risk to the participant in the study"
395,"Extensive-Stage Disease Small Cell Lung Cancer (ED-SCLC)
Eastern Cooperative Oncology Group (ECOG) of 0 or 1","Prior systemic therapy for lung cancer
Symptomatic Central Nervous System (CNS) metastases
History of autoimmune disease"
396,"Histologically or cytologically confirmed diagnosis of metastatic Stage IV NSCLC
Have at least 1 measurable lesion whose presence is assessable using standard techniques by Response Evaluation Criteria in Solid Tumors (RECIST version 1)
Have molecular evidence of an epidermal growth factor receptor mutation (EGFRmt) known to be associated with EGFR tyrosine kinase inhibitor (TKI) drug sensitivity (G719X, exon 19 deletion, L858R, L861Q)
Eastern Cooperative Oncology Group (ECOG) performance status of ≤ 2
Haven't received any prior systemic chemotherapy for Stage IV NSCLC (unless received as neoadjuvant or adjuvant therapy for early-stage NSCLC disease and completed therapy at least 6 months prior to enrollment)
Availability of adequate tumor material (block or slides)","Are currently enrolled in, or discontinued within the last 30 days from, a clinical trial involving an investigational product or non-approved use of a drug or device
Have previously completed or withdrawn from this study or any other study investigating LY2875358
Have a serious concomitant systemic disorder or significant cardiac disease
Have interstitial pneumonia or interstitial fibrosis of the lung or have pleural effusion, pericardial fluids or ascites, requiring drainage every other week or more frequently
Have a history of another malignancy except for basal or squamous cell skin cancer and/or in situ carcinoma of the cervix, or other solid tumors treated curatively and without evidence of recurrence for at least 3 years prior to the study
Have major surgery less than 2 weeks prior to the initiation of study treatment therapy
Pregnant or lactating women"
397,"Patients with pathologic confirmation of NSCLC Stage III-B (with pleural effusion) or Stage IV adenocarcinoma who have failed at least one but not more than two lines of cytotoxic chemotherapy (including adjuvant chemotherapy). One of the chemotherapy regimens must have been platinum-based.
Progressive disease following at least 12 weeks of treatment with erlotinib (Tarceva®) or gefitinib (Iressa®)
Eastern Cooperative Oncology Group (ECOG, R01-0787) performance Score 0, 1 or 2
Patients with at least one tumor lesion that can accurately be measured by magnetic resonance imaging (MRI), or computed tomography (CT) in at least one dimension with longest diameter to be recorded as >20 mm using conventional techniques or >10 mm with spiral CT scan
Male and female patients age >18 years
Life expectancy of at least three (3) months
Written informed consent that is consistent with ICH-GCP guidelines","Use of erlotinib (Tarceva®) or gefitinib (Iressa®) within 14 days of treatment Day 1
Chemo-, hormone- (other than megestrol acetate or steroids required for maintenance non-cancer therapy) or immunotherapy within the past 4 weeks
Active brain metastases
Significant or recent acute gastrointestinal disorders with diarrhea
Patients who have any other life-threatening illness or organ system dysfunction,
Other malignancies diagnosed within the past five (5) years
Radiotherapy within the past 2 weeks prior to treatment
History of clinically significant or uncontrolled cardiac disease
Adequate ANC and platelet count
1Adequate liver and kidney function
1Patients with any serious active infection including known HIV, active hepatitis B or active hepatitis C"
398,"Has a histologically or cytologically confirmed diagnosis of Stage IV metastatic NSCLC (American Joint Committee on Cancer version 8)
Has measurable disease per RECIST 1 as determined by investigator
Has Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1
Has a life expectancy of >3 months
Has provided archival tumor tissue sample or newly obtained core or excisional biopsy of a tumor lesion not previously irradiated
Female participants of childbearing potential must have a negative serum pregnancy test within 72 hours prior to receiving the first dose of study therapy
Female and male participants of reproductive potential must agree to use contraception starting from the first dose of study medication, throughout the study period, and for up to 120 days after the last dose of study medication
Male participants must refrain from donating sperm starting from the first dose of study medication, throughout the study period, and for up to 120 days after the last dose of study medication","Has received prior systemic chemotherapy/other targeted or biological antineoplastic therapy treatment for their Stage IV metastatic NSCLC
Has a tumor that harbors an epidermal growth factor receptor (EGFR)-sensitizing (activating) mutation or an anaplastic lymphoma kinase (ALK) translocation
Is currently participating in or has participated in a trial of an investigational agent or has used an investigational device within 4 weeks prior to the first dose of study therapy
Has received prior therapy with an anti-Programmed Cell Death Receptor 1 (PD-1), Programmed Cell Death Receptor Ligand 1 (anti-PD-L1), or anti- Programmed Cell Death Receptor Ligand 2 (PD-L2) agent or with an agent directed to another stimulatory or co-inhibitory T-cell receptor (eg, cytotoxic T-lymphocyte-associated protein 4 [CTLA-4], OX-40, CD137)
Has received prior radiotherapy within 2 weeks of start of study therapy or received lung radiation therapy of >30 Gray (Gy) within 6 months of the first dose of study therapy
Has recovered from all radiation-related toxicities, does not require corticosteroids, and has not had radiation pneumonitis
Is receiving systemic steroid therapy ≤7 days prior to the first dose of study therapy or receiving any other form of immunosuppressive medication
Has a known additional malignancy that is progressing or has required active treatment within the past 3 years with the exception of curatively treated basal cell carcinoma of the skin, squamous cell carcinoma of the skin and/or curatively resected in situ cancers
Has known untreated central nervous system (CNS) metastases and/or carcinomatous meningitis
1Has an active autoimmune disease that has required systemic treatment in past 2 years (i.e., with use of disease-modifying agents, corticosteroids, or immunosuppressive drugs)
1Has a diagnosis of immunodeficiency or is receiving chronic systemic steroid therapy (i.e., doses exceeding 10 mg daily of prednisone equivalent) or any other form of immunosuppressive therapy within 7 days prior the first dose of study therapy
1Has a history of (non-infectious) pneumonitis that required systemic steroids or current pneumonitis/interstitial lung disease
1Has had an allogeneic tissue/solid organ transplant
1Has received a live vaccine within 30 days prior to the first dose of study therapy
1Has an active infection requiring systemic therapy
1Has a known history of human immunodeficiency virus (HIV) infection
1Has a known history of hepatitis B or known active hepatitis C virus infection
1Has a known history of active tuberculosis
1Has known psychiatric or substance abuse disorders that would interfere with cooperating with the requirements of the trial
2Is a regular user of any illicit drugs or had a recent history of substance abuse
2Is pregnant or breast feeding or expecting to conceive or father starting from the first dose of study medication, throughout the study period, and for up to 120 days after the last dose of study medication
2Has severe hypersensitivity to pembrolizumab and/or any of its excipients and/or to ipilimumab and/or any of its excipients
2Has a ROS1 translocation"
399,"Histologically or cytologically confirmed ES-SCLC (per the Veterans Administration Lung Study Group [VALG] staging system)
No prior systemic treatment for ES-SCLC
Eastern Cooperative Oncology Group performance status of 0 or 1
Measurable disease, as defined by RECIST v1
Adequate hematologic and end organ function
Treatment-free for at least 6 months since last chemo/radiotherapy, among those treated (with curative intent) with prior chemo/radiotherapy for limited-stage SCLC","Active or untreated central nervous system (CNS) metastases as determined by computed tomography (CT) or magnetic resonance imaging (MRI) evaluation
Malignancies other than SCLC within 5 years prior to randomization, with the exception of those with a negligible risk of metastasis or death treated with expected curative outcome
Pregnant or lactating women
History of autoimmune disease
History of idiopathic pulmonary fibrosis, organizing pneumonia, drug-induced pneumonitis, idiopathic pneumonitis, or evidence of active pneumonitis on screening chest CT scan. History of radiation pneumonitis in the radiation field (fibrosis) is permitted.
Positive test result for human immunodeficiency virus (HIV)
Active hepatitis B or hepatitis C
Severe infections at the time of randomization
Significant cardiovascular disease
1Prior treatment with cluster of differentiation (CD) 137 agonists or immune checkpoint blockade therapies, anti-programmed death-1 (PD-1), and anti-PD-L1 therapeutic antibody
1History of severe (or known) hypersensitivity to chimeric or humanized antibodies or fusion proteins or any component of atezolizumab formulation."
400,"Histologically documented, locally advanced or metastatic NSCLC
Representative formalin-fixed paraffin-embedded (FFPE) tumor specimens available or at least 12 unstained, freshly cut serial sections with associated pathology report that are evaluable for PD-L1 expression and epidermal growth factor receptor (EGFR) mutation status prior to enrollment, except for known sensitizing EGFR mutations in which case 10 unstained slides are required and there is no need for central testing of EGFR mutation status
Disease progression during or following treatment with a prior platinum-containing regimen for locally advanced, unresectable, inoperable, or metastatic NSCLC, or disease recurrence within 6 months of treatment with a platinum-based adjuvant and/or neoadjuvant regimen or combined modality with curative intent
Measurable disease per RECIST v1
Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1
Life expectancy greater than or equal to (>/=) 12 weeks
Adequate hematologic and end organ function
Agreement to remain abstinent or use contraceptive methods among women of childbearing potential or male partners of women of childbearing potential
Recovery from all acute toxicities from previous therapy","Active or untreated central nervous system (CNS) metastases
Spinal cord compression not definitively treated or not clinically stable
Leptomeningeal disease
Uncontrolled pleural or pericardial effusions or ascites requiring recurrent drainage
Uncontrolled tumor-related pain
Uncontrolled hypercalcemia
Malignancies other than NSCLC within 5 years prior to randomization, except for those curatively treated with negligible risk of metastasis or death
Pregnant or lactating women
Significant cardiovascular, pulmonary, or autoimmune disease
1Severe infection or major surgery within 4 weeks, or antibiotic treatment within 2 weeks prior to randomization
1Prior treatment with or hypersensitivity to study drug(s) or related compounds
1Inability to discontinue strong cytochrome P450 (CYP) 3A4 inhibitors
1Prior allogeneic bone marrow or solid organ transplant
1Known PD-L1-negative expression status
1Positive human immunodeficiency virus (HIV) or active hepatitis B or C
1Receipt of a live attenuated vaccine within 4 weeks prior to randomization
1Treatment with systemic immunomodulators within 4 weeks or five half-lives (whichever is shorter) prior to randomization
1Treatment with systemic corticosteroids within 2 weeks prior to randomization"
