,Unnamed: 0,Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL,field1,inclusion_creteria,field2,exclusion_creteria
509,509,510,NCT04383444,Surveillance of Individuals Following SARS-CoV-2 Exposure,,Recruiting,No Results Available,COVID-19,,SARS-CoV-2 RT-PCR test result|SARS-CoV-2 antibody assay result|Symptom checklist,National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC),All,"18 Years and older   (Adult, Older Adult)",,1050.0,NIH,Observational,Observational Model: Cohort|Time Perspective: Prospective,200117|20-I-0117,"May 28, 2020","June 16, 2023","June 16, 2023","May 12, 2020",,"May 25, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT04383444,"
INCLUSION CRITERIA:
",,"
Works at an NIH facility and is able to come to the NIH campus for study visits.
Age greater than or equal to 18 years.
Is on the NIH OMS-qualified SARS-CoV-2/COVID-19 contact list in the last 7 days.
Able to provide informed consent.
Willing to allow storage of samples for future research.
",
120,120,121,NCT04362865,Investigation of the B- and T-cell Repertoire and Immune Response in Patients With Acute and Resolved COVID-19 Infection,,Recruiting,No Results Available,COVID-19,,Characterize immune response|B- and T-cell arm immune response|Immune response and outcome,National Cancer Institute (NCI)|National Institutes of Health Clinical Center (CC),All,"18 Years and older   (Adult, Older Adult)",,150.0,NIH,Observational,Observational Model: Cohort|Time Perspective: Prospective,200103|20-C-0103,"April 27, 2020","December 1, 2023","December 1, 2024","April 27, 2020",,"May 12, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT04362865,"
INCLUSION CRITERIA:
",,"- Patients with a confirmed or suspected diagnosis of COVID-19 infection, current or resolved; or,",
351,351,352,NCT04360278,Plasma Collection From Convalescent and/or Immunized Donors for the Treatment of COVID-19,,Recruiting,No Results Available,COVID-19,,Collection of convalescent plasma,National Institutes of Health Clinical Center (CC),All,"18 Years and older   (Adult, Older Adult)",,1500.0,NIH,Observational,Observational Model: Cohort|Time Perspective: Prospective,200092|20-CC-0092,"April 21, 2020","April 14, 2030","April 14, 2030","April 24, 2020",,"May 4, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT04360278,"
INCLUSION CRITERIA:
Ability of subject to understand, ask questions, and the willingness to sign the written informed consent document
Age >=18 years

Ability to meet blood donor eligibility criteria as defined in the Code of Federal Regulations 21 CFR 630 and AABB Standards, including:

Weight >=110 pounds (50 kg)
Adequate peripheral venous access for plasma donation (as judged by the examiner)

Vital signs (with exceptions as acceptable per DTM SOP)

Systolic blood pressure >100 and <180 mmHg
Diastolic blood pressure >50 and <100 mmHg
Heart rate between 50-100 beats/minute
Anti-SARS-CoV-2 antibody titer >= 64
For COVID-19 convalescent subjects, the following criteria must be met:


Prior diagnosis of COVID-19 documented by a laboratory test or by physician attestation
Complete resolution of symptoms for at least 14 days prior to donation, with negative results for COVID-19 either from one or more nasopharyngeal swab specimens or by a molecular diagnostic test from blood. A partial list of available tests can be accessed at https://www.fda.gov/medical-devices/emergency-situations-medicaldevices/ emergency-use-authorizations
If the donor is >= 28 days from date of last COVID-19-related symptom, then a negative COVID-19 test results are not needed.



For vaccinated subjects, the following criteria must be met:
--Subjects must be at least 14 days post-vaccination with an FDA-approved vaccine

Willingness to engage in repeat plasma collections for a 120-day period with possible extension to 240 days, provided neutralizing antibody titers remain sufficiently high
Willingness to have samples stored for clinical and/or genetic research testing
",,"
Patients who cannot give proper informed consent due to inability to understand the nature of the proposed therapy and attendant risk
Age under 18 years

Any sign of active infection, including but not limited to:

Subjective or documented fever (>37.5 (Infinite)C)
Cough
Shortness of breath
Diarrhea


Antibiotics within the prior 48 hours
Considered immune suppressed for example current use of oral or parenteral steroids, highdose inhaled steroids (>800 micrograms/day of beclomethasone dipropionate or equivalent) or other immunosuppressive or cytotoxic drugs

Failure to meet blood donor eligibility criteria as defined in the Code of Federal Regulations

21 CFR 630 and AABB Standards, including:
History of heart, lung or blood disease that compromises blood donor safety
History of cancer that meets DTM criteria for deferral
Medication deferrals per AABB donor education materials
Vaccinations as per FDA regulations and AABB standards

Risk or evidence of Relevant Transfusion Transmissible Infections (rTTI)

High-risk sexual history
Variant Creutzfeldt-Jakob disease (vCJD) risk
Intravenous drug abuse (IVDA)
Tattoos (from unlicensed facilities)


Blood donation within the required period of deferral (8 weeks post-whole blood donation, 16 weeks post-double red cell apheresis)
Received blood transfusion or transplantation within the time specified for each, per FDA/AABB guidelines



Participation in medical research outside DTM that includes:
--Protocols that are currently ongoing or will start during the duration of this study that require more than 500 mL of blood to be given in any 8-week period of time

Receipt of any investigational (not FDA-approved) vaccine for SARS-CoV-2 within the last 12 months or during the duration of this study
Total plasma protein level < 6.0 g/dL
Insufficient anti-SARS-CoV-2 antibody < 64
Unwillingness to engage in repeat plasma collections for a 120-day period with possible extension to 240 days, provided neutralizing antibody titers remain sufficiently high
Unwillingness to have samples stored for clinical and/or genetic research testing
",
1047,1047,1048,NCT04334512,A Study of Quintuple Therapy to Treat COVID-19 Infection,HAZDpaC,Not yet recruiting,No Results Available,COVID-19|Corona Virus Infection|Coronavirus-19|Sars-CoV2,Drug: Hydroxychloroquine|Drug: Azithromycin|Dietary Supplement: Vitamin C|Dietary Supplement: Vitamin D|Dietary Supplement: Zinc,The rate of recovery of mild or moderate COVID-19 in patients using Quintuple Therapy|Reduction or Progression of Symptomatic Days|Assess the safety of Quintuple Therapy|Assess the safety of Quintuple Therapy via pulse|Assess the safety of Quintuple Therapy via oxygen saturation|Assess the safety of Quintuple Therapy via EKG|Assess Tolerability of Quintuple Therapy,ProgenaBiome,All,"18 Years and older   (Adult, Older Adult)",Phase 2,600.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",PRG-044,May 2020,May 2021,August 2021,"April 6, 2020",,"May 12, 2020","ProgenaBiome, Ventura, California, United States",,https://ClinicalTrials.gov/show/NCT04334512,"
Informed consent provided electronically via the EDC, demonstrating that the subject understands the procedures required for the study and the purpose of the study
Male or female subjects 18 years of age and up
Subjects must agree to practice at least two highly effective methods of birth control for the duration of the study. This includes condoms with spermicide, oral birth control pills, contraceptive implants, intra-uterine devices, or diaphragms. At least one of these must be a barrier method. Subjects not of reproductive potential will be exempt (e.g. post-menopausal, surgically sterilized)
Diagnosis of COVID-19 by RT-PCR
",,"
Refusal to provide informed consent
Diarrhea prior to infection
Any comorbidities which, in the opinion of the investigator, constitute health risk for the subject

Any contraindications for treatment with hydroxychloroquine

Hypoglycemia
Known G6PD deficiency
Porphyria
Anemia
Neutropenia
Alcoholism
Myasthenia gravis
Skeletal muscle disorders
Maculopathy
Changes in visual field
Liver disease
Psoriasis


Anemia from pyruvate kinase and G6PD deficiencies
Abnormal EKG with QT prolongation acquired or from birth
Allergies to 4-Aminoquinolines
History of jaundice or high fevers prior to developing COVID-19
Treatment with any of the medications listed in Appendix II
Treatment with any other drug not listed that affects the QT interval
Treatment with any anti-epileptic drug, whether prescribed for seizures or otherwise.
Pregnant or breastfeeding women
",
467,467,468,NCT04328493,The Vietnam Chloroquine Treatment on COVID-19,VICO,Recruiting,No Results Available,SARS-CoV-2 Infection|COVID-19,Drug: Chloroquine phosphate,Viral clearance time|Lengh of hospital stay|Ventilator free days|Oxygene free days|Time to death|Adverse events|Time to viral PCR negative from rectal swab|fever clearance time|Ordinal outcome scale|Development of ARDS,"Oxford University Clinical Research Unit, Vietnam|Ministry of Health, Vietnam|Hospital for Tropical Diseases, Ho Chi Minh City, Vietnam|Cu Chi COVID Hospital, Vietnam|Can Gio COVID Hospital, Vietnam|Cho Ray Hospital, Vietnam|National Hospital for Tropical Diseases, Hanoi, Vietnam|Department of Health, Ho Chi Minh city",All,"18 Years and older   (Adult, Older Adult)",Phase 2,250.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,COVID,"April 7, 2020","April 1, 2021","April 1, 2022","March 31, 2020",,"May 5, 2020","National Hospital for Tropical Diseases, Hanoi, Vietnam|Can Gio COVID Hospital, Ho Chi Minh City, Vietnam|Cho Ray Hospital, Ho Chi Minh City, Vietnam|Cu Chi COVID Hospital, Ho Chi Minh City, Vietnam|Hospital for Tropical Diseases, Ho Chi Minh City, Vietnam",,https://ClinicalTrials.gov/show/NCT04328493,"
Laboratory-confirmed SARS-CoV-2 infection as determined by PCR, or other commercial or public health assay in any specimen < 48 hours prior to randomization, and requiring hospital admission in the opinion of the attending physician.
Provides written informed consent prior to initiation of any study procedures (or legally authorized representative).
Understands and agrees to comply with planned study procedures.
Agrees to the collection of OP swabs and venous blood per protocol.
Male or female adult ≥18 years of age at time of enrollment.
",,,
1482,1482,1483,NCT04363437,COlchicine in Moderate-severe Hospitalized Patients Before ARDS to Treat COVID-19,COMBATCOVID19,Recruiting,No Results Available,Coronavirus Infection,Drug: Colchicine|Drug: Usual Care,Percentage of Patients requiring supplemental oxygen beyond 8L nasal cannula|Percentage of patients who will require mechanical ventillation|Hospital length of stay|Mortality|Maximum CRP|Maximum troponin elevation,Maimonides Medical Center,All,"18 Years to 100 Years   (Adult, Older Adult)",Phase 2,70.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020-04-12,"April 26, 2020","May 31, 2020","June 14, 2020","April 27, 2020",,"May 8, 2020","Maimonides Medical Center, Brooklyn, New York, United States",,https://ClinicalTrials.gov/show/NCT04363437,"
Males and females >=18 years of age
Willing and able to provide written informed consent prior to performing study procedures
Currently hospitalized and requiring medical care for COVID-19
Significant COVID-19 symptom, or judged by the treating provider to be at high risk of progression to severe COVID-19 infection

Significant COVID-19 symptoms are defined by one or more of the following:

Dyspnea
Respiratory frequency ≥ 30/min
Blood oxygen saturation ≤ 93%


AND one or more of the following: (positive PCR test or positive antibodies) or (CT/Chest X-ray consistent with COVID19 infection) or (anosmia).
",,"
Requirement of oxygen supplementation >8L nasal cannula
Pregnancy
Known hypersensitivity to colchicine
Patient currently in shock or with hemodynamic instability requiring pressors
History of cirrhosis
Alanine Aminotransferase (ALT) or aspartate aminotransferase (AST) > 5X upper limit of normal (ULN)
Patients with severe renal disease, CrCl <30ml/min
Patients requiring invasive mechanical ventilation at screening or Clinical estimation that the patient will require mechanical respiratory support within 24 hours
Patient is currently taking colchicine for other indications (gout or Familial Mediterranean Fever)
Patient received Remdesivir, Sarilumab, Tociluzimab, Lopinavir/Ritonavir or other immunomodulator given for COVID-19 treatment (Note: Convalescent plasma infusion is not an exclusion)
Patient is on (and cannot discontinue) a strong CYP3A4 inhibitor (eg clarithromycin, indinavir, itraconazole, ketoconazole, nefazodone, nelfinavir, ritonavir, saquinavir, telithromycin, atazanavir), a moderate CYP3A4 inhbitor (eg diltiazem, verapamil, fluconazole, amprenavir, aprepitant, fosamprenavir) or a P-gp Inhibitor (eg cyclosporine, ranolazine)
Patient is undergoing chemotherapy for cancer
Patient is considered by the investigator, for any reason, to be unsuitable candidate for the study
",
835,835,836,NCT04355351,Study of Immune Response During SARS-CoV-2 Infection - (COVID-19),CovImmune,Not yet recruiting,No Results Available,"New Coronavirus Disease (COVID-19), Infection With SARS-CoV-2",Other: blood sampling|Other: additional blood tubes,Level of IFN-gamma after a non-specific stimulation of T lymphocytes,Centre Hospitalier Universitaire de Nice,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,400.0,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,20-PP-05,"April 22, 2020","October 22, 2020","October 22, 2020","April 21, 2020",,"April 24, 2020","Antibes Hospital, Antibes, France|Cannes Hospital, Cannes, France|Nice Hospital, Nice, France",,https://ClinicalTrials.gov/show/NCT04355351,1/ Medical personnel exposed to SARS-CoV-2 infection,,"
Every willing member of medical personnel who is in charge of care, treatment or transfer of patients with COVID-19, in the hospitals of Nice, Cannes and Antibes
The absence of infection with SARS-CoV-2 at enrolment
Age > 18 years
Having signed an informed consent
Valid health insurance
",
145,145,146,NCT04351646,Diagnostics of COVID-19/DARTS (Development and Assessment of Rapid Testing for SARS-CoV-2 Outbreak),,Not yet recruiting,No Results Available,COVID-19,,Antibody titres to SARS-CoV-2,"St George's, University of London",All,"18 Years and older   (Adult, Older Adult)",,500.0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2020.0075,"April 15, 2020","April 15, 2022","April 15, 2022","April 17, 2020",,"April 17, 2020","St. Georges Hospital Foundation Trust, London, United Kingdom",,https://ClinicalTrials.gov/show/NCT04351646,==INCLUSION CRITERIA =========,,"
Aged 18 years of age or over
Negative SARS-CoV-2 result from specimen received at SWLP laboratory in SGHFT
",
624,624,625,NCT04386044,Investigating the Role of Vitamin D in the Morbidity of COVID-19 Patients,,Not yet recruiting,No Results Available,COVID-19|Vitamin D Deficiency,,COVID-19 infection|Oxygen therapy for COVID-19|Discharge following COVID-19 hospitalisation|Death due to COVID-19,Tameside General Hospital,All,"18 Years and older   (Adult, Older Adult)",,1000.0,Other,Observational,Observational Model: Other|Time Perspective: Other,TGH1234,"June 1, 2020","December 31, 2020","June 1, 2021","May 13, 2020",,"May 13, 2020","Tameside Hospital NHS Foundation Trust, Ashton-under-Lyne, Greater Manchester, United Kingdom",,https://ClinicalTrials.gov/show/NCT04386044,ARM 1 - hospital in-patients,,"
In-patient admitted to Tameside General Hospital.
Clinical diagnosis of COVID-19 - not necessary for SARS-CoV-2 swab to be positive.
Patients on vitamin D treatment to be included, but this will be adjusted for in analysis.
",
771,771,772,NCT04361435,Lung Recruitment Device for COVID-19,,Not yet recruiting,No Results Available,COVID-19|Physiotherapy,Procedure: Chest physiotherapy using a non-invasive oscillating device,SpO2/FIO2 Ratio|Blood pressures|Heart rates|Respiratory rate|Body temperature|Modified Wood Clinical Asthma Score (m-WCAS)|Expiratory tidal lung volume.|End-tidal CO2|Clinical Respiratory severity scores.,St. Justine's Hospital|Dymedso Inc.|Réseau de Recherche en Santé Respiratoire du Québec|Fonds de la Recherche en Santé du Québec,All,"Child, Adult, Older Adult",Not Applicable,50.0,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care,MP-21-2020-2871,"May 1, 2020","July 31, 2020","December 31, 2020","April 24, 2020",,"April 28, 2020",,,https://ClinicalTrials.gov/show/NCT04361435,"All the patients admitted to the ICUs during the study period will be screened. We will not set any restrictions regarding the timing of the prescription of CPT (i.e., length of ICU stay before screening) for the screening. We will include only if CPT is expected to be used as management at least for the next 24 hours in the ICUs from the time of inclusion. For instance, if CPT will be expected to be discontinued from the management in a day, we will exclude them from the inclusion. CPT can be prescribed for airway clearance with any etiology such as atelectasis at the directions of bedside intensivists in charge of the study date.",,"
Patients diagnosed as COVID-19
Patents strongly suspected its infection and the result of virological testing is pending as of screening.
Patients with any type of mechanical ventilation (i.e., Invasive, non-invasive, high flow nasal therapy)
Patients are on standard oxygen by mask or nasal cannula and the FiO2 provided can be measurable.
Patients who are on respiratory monitoring at least SpO2 can be continuously measurable.
",
1123,1123,1124,NCT04384926,Outcomes of Elective Cancer Surgery During the COVID-19 Pandemic Crisis,CovidSurg-Can,Recruiting,No Results Available,COVID-19|Coronavirus|Cancer|Surgery,Procedure: Elective Cancer Surgery,30-day postoperative COVID-19 infection rate|30-day postoperative mortality rate|Postoperative critical care utilisation rate in high-risk cancer surgery patients.|Proportion of patients with delay of greater than 4 weeks from decision for surgery to date of surgery|Proportion of non-operated patients with progression to incurable disease by 3-months after decision for surgery,University of Birmingham,All,"18 Years and older   (Adult, Older Adult)",,1000.0,Other,Observational,Observational Model: Cohort|Time Perspective: Other,CSC-20200324,"March 30, 2020","December 31, 2020","December 31, 2020","May 12, 2020",,"May 12, 2020","Hospital del Henares, Madrid, Spain",,https://ClinicalTrials.gov/show/NCT04384926,Centre Inclusion Criteria:,,Inclusion Criteria (patient):,"Adults (age ≥18 years) with a confirmed diagnosis of an included cancer type
Decision made for surgical management with a curative intent"
1190,1190,1191,NCT04321096,The Impact of Camostat Mesilate on COVID-19 Infection,CamoCO-19,Recruiting,No Results Available,Corona Virus Infection,Drug: Camostat Mesilate|Drug: Placebo oral tablet,"Cohort 1: Days to clinical improvement from study enrolment|Cohort 2: Days to clinical improvement from study enrolment|Safety evaluation, as measured by AEs, Adverse Reactions (ARs), SAEs, Serious ARs (SARs)|Cohort 1: Clinical status as assessed by the 7-point ordinal scale at day 7, 14 and 30|Cohort 1: Day 30 mortality|Cohort 1: Change in NEW(2) score from baseline to day 30|Cohort 1: Admission to ICU|Cohort 1: Use of invasive mechanical ventilation or ECMO|Cohort 1: Duration of supplemental oxygen (days)|Cohort 1+2: Days to self-reported recovery (e.g. limitations in daily life activities) during telephone interviews conducted at day 30|Cohort 2: Number participant-reported secondary infection of housemates|Cohort 2: Time to hospital admission related to COVID-19 infection",University of Aarhus,All,"18 Years to 110 Years   (Adult, Older Adult)",Phase 1|Phase 2,580.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",2020-001200-42,"April 4, 2020","December 31, 2020","May 1, 2021","March 25, 2020",,"April 30, 2020","Department of Infectious Diseases, Aalborg, Denmark|Department for Infectious Diseases, Aarhus University Hospital, Aarhus N, Denmark|Herning Regional Hospital, Herning, Denmark|Northzealands hospital - Hillerød, Hillerød, Denmark|Horsens Regional Hospital, Horsens, Denmark|Bispebjerg hospital, København, Denmark|Dept. of Infectious Diseases, Odense University Hospital, Odense, Denmark|Randers Regional Hospital, Randers, Denmark|Silkeborg Hospital, Silkeborg, Denmark",,https://ClinicalTrials.gov/show/NCT04321096,Cohort 1),"Documented COVID-19 infection as evidenced by positive PCR (or comparable clinical assay) for SARS-CoV-2
Less than 48 hours since time of hospital admission OR if hospital-acquired COVID-19 is suspected, less than 48 hrs since onset of symptoms
Adolescents and adults age >=18 years
Subject or legally authorized representative able to give informed consent
Admitted to hospital",Cohort 2),"Documented COVID-19 infection as evidenced by positive PCR (or comparable clinical assay) for SARS-CoV-2
One or more of the following symptoms of COVID-19 infection: fever, cough, expectoration, shortness of breath, myalgia, fatigue, or head ache
No more than 5 days since the beginning of symptom onset
Adolescents and adults age >=18 years
Subject (or legally authorized representative, for Cohort 1 only) able to give informed consent
Do not require immediate hospitalization (newly diagnosed COVID-19 patients who are discharged within 24 hrs of hospital admission are eligible for enrollment)
Must be willing to fill out a daily symptom diary
Must be available for a daily phone call
Must be willing to take their own temperature at least once a day"
582,582,583,NCT04354259,Interferon Lambda for Immediate Antiviral Therapy at Diagnosis in COVID-19,ILIAD,Recruiting,No Results Available,Sars-CoV2|Covid-19,Drug: Peginterferon Lambda-1A|Other: placebo,Cohort A (Ambulatory) - Proportion swab negative at day 7 (Primary efficacy endpoint)|Cohort A (Ambulatory) - Treatment-emergent and treatment related serious adverse events (Primary Safety Endpoint)|Cohort B (Hospitalized) - Time to viral negativity (Primary Efficacy Endpoint)|Cohort B (Hospitalized) - treatment-emergent and treatment-related serious adverse events (Primary Safety Endpoint)|Cohort A (Ambulatory) - Symptom Resolution (Clinical Outcome #1)|Cohort A (Ambulatory) - Symptom severity scores (Clinical Outcome #2)|Cohort A (Ambulatory) - Hospitalization (Clinical Outcome #3)|Cohort A (Ambulatory) - Adverse and serious adverse events (Clinical Outcome #4)|Cohort A (Ambulatory) - Swab negative at day 3 (Virologic/Immunological Outcome #1)|Cohort A (Ambulatory) - Time RNA negativity (Virologic/Immunological Outcome #2)|Cohort A (Ambulatory) - Proportion viremic (Virologic/Immunological Outcome #3)|Cohort A (Ambulatory) - Proportion with antibodies (Virologic/Immunological Outcome #4)|Cohort A (Ambulatory) - Correlation with interferon lambda 4 genotype (Virologic/Immunological Outcome #5)|Cohort A (Ambulatory) - Symptoms in household contacts (Transmission Outcome #1)|Cohort A (Ambulatory) - COVID-19 in household contacts (Transmission Outcome #2)|Cohort B (Hospitalized) - ICU admission (Clinical Outcome #1)|Cohort B (Hospitalized) - Need for intubation (Clinical Outcome #2)|Cohort B (Hospitalized) - Length of hospital stay (Clinical Outcome #3)|Cohort B (Hospitalized) - Change in respiratory symptom score (Clinical Outcome #4)|Cohort B (Hospitalized) - Readmission to hospital (Clinical Outcome #5)|Cohort B (Hospitalized) - All-cause mortality (Clinical Outcome #6)|Cohort B (Hospitalized) - COVID-19-related mortality (Clinical Outcome #7)|Cohort B (Hospitalized) - Adverse (AEs) and Serious Adverse Events (SAEs) (Clinical Outcome #8)|Cohort B (Hospitalized) - Dose reduction or dose omission (Clinical Outcome #9)|Cohort B (Hospitalized) - Proportion negative swab. (Virologic/Immunological Outcome #1)|Cohort B (Hospitalized) - Proportion negative by day 14 (Virologic/Immunological Outcome) #2)|Cohort B (Hospitalized) - Time to negativity by rectal swab (Virologic/Immunological Outcome #3)|Cohort B (Hospitalized) - Correlation with interferon lambda 4 (IFNL4) genotype (Virologic/Immunological Outcome #4)|Cohort B (Hospitalized) - Proportion with Antibody (Virologic/Immunological Outcome #6)|Cohort B (Hospitalized) - Proportion with viremia (Virologic/Immunological Outcome #7),"University Health Network, Toronto",All,"18 Years and older   (Adult, Older Adult)",Phase 2,140.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",JF-4-2020,"May 13, 2020","August 1, 2020","November 30, 2020","April 21, 2020",,"May 18, 2020","Toronto General Hospital, Toronto, Ontario, Canada",,https://ClinicalTrials.gov/show/NCT04354259,Cohort A - Ambulatory,,"
Adult patients between the ages of 18 and 70 years.
Confirmed COVID-19 infection by PCR within 5 days of symptom onset (fever, respiratory symptoms, sore throat).
Discharged to home isolation.
Willing and able to sign informed consent.
Willing and able to follow-up by daily phone or videoconference.
Female patients of childbearing potential and male patients with partners of childbearing potential must agree to use adequate methods of contraception during the study and through 90 days after the last dose of study medication. Female patients of childbearing potential are all those except patients who are surgically sterile, who have medically documented ovarian failure, or who are at least 1 year postmenopausal.
",
57,57,58,NCT04343755,Convalescent Plasma as Treatment for Hospitalized Subjects With COVID-19 Infection,,Recruiting,No Results Available,COVID-19,Biological: Convalescent Plasma,"For patients hospitalized for COVID-19 but not intubated|Primary objective for patients with COVID-19 already intubated|Duration of hospitalization|Duration of mechanical ventilation|Time to symptoms resolution|Overall survival|Rate of virologic clearance by nasopharyngeal swab at day 10|Impact of donor titers level on efficacy|Impact of donor titers level on safety|Recipient Anti-SARS-CoV2 titer assessment on days 0 (pre-infusion),3,10,30, 60",Hackensack Meridian Health,All,"18 Years and older   (Adult, Older Adult)",Phase 2,55.0,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Pro2020-0375,"April 9, 2020",April 2021,April 2021,"April 13, 2020",,"April 17, 2020","Hackensack University Medical Center, Hackensack, New Jersey, United States",,https://ClinicalTrials.gov/show/NCT04343755,Donor Eligibility Criteria:,"Age 18-60
A history of a positive nasopharyngeal swab for COVID-19
At least 14 days from resolution of COVID-19-associated symptoms
Two negative nasopharyngeal swabs done at least 24 hours apart for COVID-19 RNA
Covid-19 neutralizing antibody >1:64
Adequate venous access for apheresis
Meets donor eligibility criteria in accordance to Hackensack University Medical Center (HUMC) Collection Facility at the John Theurer Cancer Center (JTCC) and all regulatory agencies as describes in SOP 800 01
Required testing of the donor and product must be performed in accordance to FDA regulations (21 CFR 610.40), and the donation must be found suitable (21 CFR 630.30)",Recipient Eligibility Criteria:,
