"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1340,"NCT04394104","COVID-19 Wellness Survey",,"Not yet recruiting","No Results Available","Health Behavior","Other: Survey","Health Behavior Change Regression Questionnaire","Rutgers, The State University of New Jersey","All","18 Years and older   (Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","Pro2020001009","May 15, 2020","May 31, 2020","May 31, 2020","May 19, 2020",,"May 19, 2020","Rutgers, The State University of New Jersey, New Brunswick, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT04394104"
1341,"NCT04361877","Cardiovascular Prevention During COVID-19 Pandemic Lockdown in Young Adults (COLA Trial)",,"Recruiting","No Results Available","Cardiovascular Prevention Behaviour",,"Change of physical activity|change of nutrition behaviour|semiquantitative change of alcohol intake|change of smoking behaviour|change of stress level|step count","Klinikum der Universitaet Muenchen","All","18 Years and older   (Adult, Older Adult)",,"1900","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20-268 KB","March 30, 2020","April 20, 2020","April 20, 2020","April 24, 2020",,"May 1, 2020","University Hospital Munich (LMU Klinikum), Munich, Germany",,"https://ClinicalTrials.gov/show/NCT04361877"
1342,"NCT04358003","Plasma Adsorption in Patients With Confirmed COVID-19",,"Recruiting","No Results Available","Respiratory Failure|ARDS","Device: Marker Therapeutics D2000 Cartridge (D2000) for use with the Spectra Optia® Apheresis System (Optia SPD Protocol)","All-cause mortality|Change in Sequential Organ Failure Assessment [SOFA] scores","Marker Therapeutics AG|Terumo BCT","All","18 Years and older   (Adult, Older Adult)","Not Applicable","2000","Industry","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MH-007/B","May 2020","August 1, 2020","December 1, 2020","April 22, 2020",,"May 18, 2020","UT Southwestern/Parkland Hospital, Dallas, Texas, United States|UTMB, Galveston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04358003"
1343,"NCT04397575","The GCO-002 CACOVID-19 Cohort: a French Nationwide Multicenter Study of COVID-19 Infected Cancer Patients","CACOVID-19","Recruiting","No Results Available","Cancer|COVID|Solid Tumor|Social Inequality|French National Cohort|Chemotherapy|Immunotherapy|Surgery|Radiotherapy",,"Number of cases of SARS-COV-2 infection and mortality rate directly related to the infection in patients being followed for digestive, thoracic, head and neck, gynecologic, cerebral, urologic or cutaneous cancer|Number of cases of SARS-COV-2 infection|Percentage of severe and fatal forms.of cases of SARS-COV-2 infection|Social characteristics of individuals on treatment|Link between socio-territorial determinants and the characteristics/severity of SARS-COV-2 infection.","Federation Francophone de Cancerologie Digestive|ARCAGY/ GINECO GROUP|GERCOR - Multidisciplinary Oncology Cooperative Group|GORTEC|IFCT|Association de Neuro-Oncologues d’Expression Francaise","All","18 Years and older   (Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","GCO002 CACOVID-19","April 3, 2020","June 1, 2020","September 1, 2020","May 21, 2020",,"May 21, 2020","Ch D'Abbeville, Abbeville, France|CHU - Hôtel Dieu, Angers, France|CH Victor Dupouy, Argenteuil, France|AP - HP - Pitié Salpêtrière, Paris, France|Bichat, Paris, France|Centre Hospitalier Universitaire, Reims, France",,"https://ClinicalTrials.gov/show/NCT04397575"
1344,"NCT04325412","Cardiac complicAtions in Patients With SARS Corona vIrus 2 regisTrY","CAPACITY-COVID","Recruiting","No Results Available","COVID-19; Cardiovascular Diseases",,"The incidence of cardiovascular complications in patients with COVID-19","UMC Utrecht","All","18 Years and older   (Adult, Older Adult)",,"1000","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","20-161/C","March 23, 2020","March 23, 2021","June 23, 2021","March 27, 2020",,"March 27, 2020","University Medical Center Utrecht, Utrecht, Netherlands",,"https://ClinicalTrials.gov/show/NCT04325412"
1345,"NCT04385576","Taiwan ""Aerosol Box"" Versus UMMC ""Intubation Box""",,"Recruiting","No Results Available","COVID-19|Airway","Device: Aerosol Box|Device: Intubation Box","Time to successful intubation|Number of intubation attempts|Evaluation of the intubator's experience using both boxes","University of Malaya","All","Child, Adult, Older Adult","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","2020410-8498","May 15, 2020","September 15, 2020","December 30, 2020","May 13, 2020",,"May 13, 2020","University Malaya Medical Centre, Kuala Lumpur, Selangor, Malaysia","""Study Protocol, Statistical Analysis Plan, and Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/76/NCT04385576/Prot_SAP_ICF_000.pdf","https://ClinicalTrials.gov/show/NCT04385576"
1346,"NCT04384549","Efficacy of BCG Vaccination in the Prevention of COVID19 Via the Strengthening of Innate Immunity in Health Care Workers","COVID-BCG","Not yet recruiting","No Results Available","Infection|Viral, Agent as Cause of Disease Classified Elsewhere","Biological: BCG GROUP|Other: PLACEBO GROUP","Incidence of documented COVID-19 among health care workers exposed to SARS CoV2 and vaccinated with BCG compared to placebo.|Numbers of COVID-19 patients requiring hospitalization in ICU and O2, artificial ventilation or extracorporal membrane oxygenation, or deaths in BCG-vaccinated health care workers compared to placebo|Incidence of asymptomatic SARS CoV2 seropositive subjects among BCG-vaccinated health care workers compared to placebo.|Incidence of subjects with any respiratory infection among BCG-vaccinated health care workers compared to placebo.|Numbers of sick days and numbers of sick leaves among BCG-vaccinated health care workers compared to placebo.|Numbers of subjects with BCG-related advers events among BCG-vaccinated health care workers compared to placebo.|Numbers and intensity of changes in innate immune markers after SARS CoV2 infection among BCG-vaccinated health care workers compared to placebo.","Assistance Publique - Hôpitaux de Paris","All","18 Years and older   (Adult, Older Adult)","Phase 3","1120","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Prevention","APHP200462|2020-001678-31","May 11, 2020","February 11, 2021","February 11, 2021","May 12, 2020",,"May 12, 2020","I-REIVAC/CIC 1417 Cochin Hospital, APHP, Paris, France",,"https://ClinicalTrials.gov/show/NCT04384549"
1347,"NCT04366297","Intravascular Access of COVID-19 Patient Under Personal Protective Equipment",,"Completed","No Results Available","Cardiac Arrest|Emergencies","Device: Intravenous access|Device: Intraosseous access","successful rate of first intravascular access attempt|time to successful access|number of attempts to successful access|time to infusion|complication rates|ease of use|Preferred intravascular access method","Lazarski University|Poznan University of Medical Sciences|Medical University of Bialystok|Wroclaw Medical University","All","18 Years and older   (Adult, Older Adult)","Not Applicable","41","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","IO_PPE_MS_1","January 12, 2020","February 25, 2020","February 25, 2020","April 28, 2020",,"April 28, 2020","Lazarski Univeristy, Warsaw, Poland",,"https://ClinicalTrials.gov/show/NCT04366297"
1348,"NCT04361396","Assessment of the Presence of the SARS-COV-2 Virus in the Peritoneum of COVID-19 Patients","LAPTRANSCOV","Recruiting","No Results Available","Coronavirus Infection","Other: Collection of samples","Assessment of the presence of the SARS-COV-2 virus at T4|Assessment of the presence of the SARS-COV-2 virus at T1|Assessment of the presence of the SARS-COV-2 virus in the peritoneal effusion at T2 or T4|Assessment of the presence of the SARS-COV-2 virus at T3|Assessment of the presence of the SARS-COV-2 virus at T5","Centre Hospitalier René Dubos","All","18 Years and older   (Adult, Older Adult)","Not Applicable","40","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","CHRD 0420","May 2020","October 2020","October 2020","April 24, 2020",,"April 30, 2020","Department of General and Digestive Surgery, Hospital René Dubos, Pontoise, France|Department of Gynecology-Obstetrics, Hospital René Dubos, Pontoise, France",,"https://ClinicalTrials.gov/show/NCT04361396"
1349,"NCT04339790","Mental Health Impact of COVID-19 Pandemic on NIMH Research Participants and Volunteers",,"Recruiting","No Results Available","Healthy Volunteer|Mood Disorder|Anxiety Disorder|Preexisting Medical Condition",,"NIMH COVID Study survey - adult responses|DSM XC and KS survey","National Institute of Mental Health (NIMH)|National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)",,"10000","NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","999920085|20-M-N085","May 28, 2020","March 1, 2022","April 1, 2022","April 9, 2020",,"May 25, 2020","National Institute of Mental Health (NIMH), Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04339790"
1350,"NCT04345861","Hydroxychloroquine Plus Azithromycin Versus Hydroxychloroquine for COVID-19 Pneumonia (COVIDOC Trial)","COVIDOC","Recruiting","No Results Available","Coronavirus Infection|Pneumonia, Viral","Drug: Hydroxychloroquine + placebo|Drug: hydroxychloroquine + azithromycin","Time to clinical improvement of at least 1 level on the ordinal scale between Day 1 (day of the first administration of study drug) to Day 11 (day after last day of treatment).|Clinical status assessed by ordinal scale|transfer to ICU|Length of hospital day|Hospital Mortality|Need to Mechanical Ventilation|Occurence of grade 3-4 adverse event|QTc Lengthening|Evolution of pulmonary CT scan images","University Hospital, Montpellier","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2|Phase 3","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","RECHMPL20_168","April 11, 2020","September 6, 2020","April 6, 2021","April 15, 2020",,"April 24, 2020","Montpellier University hospital, Montpellier, France",,"https://ClinicalTrials.gov/show/NCT04345861"
1351,"NCT04389385","COVID-19 Specific T Cell Derived Exosomes (CSTC-Exo)",,"Active, not recruiting","No Results Available","Corona Virus Infection|Pneumonia","Biological: COVID-19 Specific T Cell derived exosomes (CSTC-Exo)","Adverse reaction (AE) and severe AE (SAE)|Efficacy Assessment|The Rate of Recovery Without Mechanical Ventilator","TC Erciyes University","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 1","60","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","EruCovid2020","May 1, 2020","September 30, 2020","May 31, 2021","May 15, 2020",,"May 15, 2020","GENKOK, Kayseri, Melikgazi, Turkey",,"https://ClinicalTrials.gov/show/NCT04389385"
1352,"NCT04321278","Safety and Efficacy of Hydroxychloroquine Associated With Azithromycin in SARS-CoV2 Virus (Coalition Covid-19 Brasil II)",,"Recruiting","No Results Available","Coronavirus Infections|Pneumonia, Viral","Drug: Hydroxychloroquine + azithromycin|Drug: Hydroxychloroquine","Evaluation of the clinical status|All-cause mortality|Number of days free from mechanical ventilation|Duration of mechanical ventilation|Duration of hospitalization|Other secondary infections|Time from treatment start to death","Hospital Israelita Albert Einstein|EMS|Hospital do Coracao|Hospital Sirio-Libanes|Brazilian Research In Intensive Care Network|Cristália Produtos Químicos Farmacêuticos Ltda.","All","18 Years and older   (Adult, Older Adult)","Phase 3","440","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","30155020.5.1001.0071","March 28, 2020","August 30, 2020","August 30, 2020","March 25, 2020",,"April 22, 2020","Instituto de Cardiologia do Distrito Federal, Brasília, Distrito Federal, Brazil|Fundação Social Rural de Colatina, Colatina, Espirito Santo, Brazil|Hospital Vera Cruz AS, Belo Horizonte, Minas Gerais, Brazil|Hospital Maternidade E Pronto Socorro Santa Lucia Ltda, Poços De Caldas, Minas Gerais, Brazil|Universidade Estadual de Londrina, Londrina, Paraná, Brazil|Hospital Adventista de Belém, Belém, Pará, Brazil|Hospital Giselda Trigueiro, Natal, Rio Grande Do Norte, Brazil|Hospital Universitário Onofre Lopes, Natal, Rio Grande Do Norte, Brazil|Hospital Moinhos de Vento, Porto Alegre, Rio Grande Do Sul, Brazil|Irmandade da Santa Casa de Misericordia de Porto Alegre, Porto Alegre, Rio Grande Do Sul, Brazil|Maestri E Kormann Consultoria Medico-Cientifica, Blumenau, Santa Catarina, Brazil|Sociedade Literaria e Caritativa Santo Agostinho, Criciúma, Santa Catarina, Brazil|Fundação Pio XII, Barretos, São Paulo, Brazil|Santa Casa de Misericordia de Votuporanga, Votuporanga, São Paulo, Brazil|Hospital Israelita Albert Einstein, São Paulo, Brazil|AMICO Saude LTDA, São Paulo, Brazil|Associacao Beneficente Siria, São Paulo, Brazil|Hospital Vila Santa Catarina, São Paulo, Brazil|Prevent Senior Private Operadora de Saude Ltda, São Paulo, Brazil|Real e Benemérita Associação Portuguesa de Beneficência/SP, São Paulo, Brazil|Real e Benemérita Associação Portuguesa de Beneficência/SP, São Paulo, Brazil|Santa Casa de Misericórdia, São Paulo, Brazil|Secretaria de Saúde do Estado de São Paulo, São Paulo, Brazil|Serv Social da Industria do papel, papelão e cortiça do estado de SP, São Paulo, Brazil|Sociedade Beneficente de Senhoras Hospital Sírio-Libanês, São Paulo, Brazil|Universidade Federal de São Paulo, São Paulo, Brazil",,"https://ClinicalTrials.gov/show/NCT04321278"
1353,"NCT04373382","Peer Champion Support for Hospital Staff During and After the COVID-19 Pandemic",,"Not yet recruiting","No Results Available","Burnout","Behavioral: Peer Resilience Champion|Behavioral: Enriched Survey Feedback","Change in instances of burnout for hospital staff due to the Peer Resilience Champion intervention|Change in instances of burnout for hospital staff due to the Enriched Feedback Survey intervention","Mount Sinai Hospital, Canada|Canadian Institutes of Health Research (CIHR)","All","18 Years and older   (Adult, Older Adult)","Not Applicable","1000","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","20-0084-E","June 2020","February 2022","February 2022","May 4, 2020",,"May 5, 2020","Sinai Health, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04373382"
1354,"NCT04367337","Health Behavior Change During COVID-19 Pandemic",,"Recruiting","No Results Available","Health Behavior","Other: No intervention","Handwashing adherence|Frequency of handwashing|Self-efficacy|Risk perception|Outcome expectancy|Intention|Planning|Action control|Perceived effectiveness of hand hygiene|Anxiety|Country-level COVID-19 morbidity and mortality rates","University of Social Sciences and Humanities, Warsaw","All","18 Years and older   (Adult, Older Adult)",,"5600","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Prospective","3228-1BPSYPSBEH-30","March 25, 2020","March 24, 2021","March 24, 2021","April 29, 2020",,"April 29, 2020","the University of Melbourne, Melbourne, Australia|University of New Brunswick, Fredericton, Canada|Peking University, Beijing, China|University of Bordeaux, Bordeaux, France|London School of Hygiene and Tropical Medicine (in collaboration with MRC Unit The Gambia at LSHTM), Fajara, Gambia|Freie Universität Berlin, Berlin, Germany|Bar-Ilan University, Ramat Gan, Israel|University of Padova, Padova, Italy|Perdana University, Serdang, Malaysia|SWPS University of Social Sciences and Humanities, Wroclaw, Lower Silezia, Poland|University of Lisbon, Lisbon, Portugal|Babes-Bolyai Unversity, Cluj-Napoca, Romania|Nanyang Technological University, Singapore, Singapore|University of Zurich, Zürich, Switzerland",,"https://ClinicalTrials.gov/show/NCT04367337"
1355,"NCT04323592","Efficacy of Methylprednisolone for Patients With COVID-19 Severe Acute Respiratory Syndrome","MP-C19","Recruiting","No Results Available","Severe Acute Respiratory Syndrome (SARS) Pneumonia|Coronavirus Infections|ARDS, Human","Drug: Methylprednisolone|Other: standard care","Composite primary end-point|death|Admission to ICU|Endotracheal intubation (invasive mechanical ventilation)|reduction of C-reactive protein or CRP|Reduction of mechanical ventilation","University of Trieste","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2|Phase 3","104","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MP-19 023_2020","March 23, 2020","May 20, 2020","May 30, 2020","March 26, 2020",,"March 27, 2020","Marco Confalonieri, Trieste, TS, Italy","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/92/NCT04323592/Prot_SAP_000.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/92/NCT04323592/ICF_001.pdf","https://ClinicalTrials.gov/show/NCT04323592"
1356,"NCT04360811","Assessment of Obstetric, Fetal and Neonatal Risks and Vertical SARS-CoV-2 Transmission During COVID-19 Pandemic","COroFet","Recruiting","No Results Available","Pregnancy","Diagnostic Test: COVID 19 diagnostic test by PCR","number of positive COVID-19 women","University Hospital, Toulouse","Female","18 Years and older   (Adult, Older Adult)","Not Applicable","3600","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Other","RC31/20/0123","April 17, 2020","April 2021","April 2022","April 24, 2020",,"April 24, 2020","University Hospital of Toulouse, Toulouse, France",,"https://ClinicalTrials.gov/show/NCT04360811"
1357,"NCT04380701","A Trial Investigating the Safety and Effects of Four BNT162 Vaccines Against COVID-2019 in Healthy Adults",,"Recruiting","No Results Available","Infections, Respiratory|Virus Diseases|Infection Viral|Vaccine Adverse Reaction|RNA Virus Infections","Biological: BNT162a1|Biological: BNT162b1|Biological: BNT162b2|Biological: BNT162c2","Solicited local reactions at the injection site (pain, tenderness, erythema/redness, induration/swelling) recorded up to 7±1 days after each immunization.|Solicited systemic reactions (nausea, vomiting, diarrhea, headache, fatigue, myalgia, arthralgia, chills, loss of appetite, malaise, and fever) recorded up to 7±1 days after each immunization.|The proportion of subjects with at least 1 unsolicited treatment emergent adverse event (TEAE):|For BNT162a1, BNT162b1, BNT162b2 (P/B):|For BNT162c2 (SD):","Biontech RNA Pharmaceuticals GmbH|Biontech SE","All","18 Years to 55 Years   (Adult)","Phase 1|Phase 2","200","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BNT162-01|2020-001038-36|U1111-1249-4220","April 23, 2020","August 2020","August 2020","May 8, 2020",,"May 12, 2020","Contract Research Organization, Berlin, Germany",,"https://ClinicalTrials.gov/show/NCT04380701"
1358,"NCT04345614","A Study of CM4620-Injectable Emulsion (IE) in Patients With Severe COVID-19 Pneumonia",,"Recruiting","No Results Available","Pneumonia","Drug: CM4620-Injectable Emulsion","Improvement on a 7-point Ordinal Scale|Incidence of treatment-emergent adverse events (TEAE) (safety and tolerability)|Change in estimated PaO2/FiO2|Number of days alive and free of mechanical ventilation|Time to discharge alive from hospital|Number of patients alive on day 30 and day 60|Change in interleukin (IL)-6 level|Change in IL-17 level|Change in tumor necrosis factor-alpha level|Change in cytokine levels|CM4620-IE serum concentration|Procalcitonin levels|Normalization of oxygen saturation|Time to first normalization of oxygen saturation","CalciMedica, Inc.","All","18 Years and older   (Adult, Older Adult)","Phase 2","120","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CM4620-204","April 8, 2020","July 2020","September 2020","April 14, 2020",,"May 5, 2020","Henry Ford Hospital, Detroit, Michigan, United States|Methodist Hospital, Saint Louis Park, Minnesota, United States|Regions Hospital, Saint Paul, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04345614"
1359,"NCT04290858","Nitric Oxide Gas Inhalation Therapy for Mild/Moderate COVID19 Infection","NoCovid","Withdrawn","No Results Available","Coronavirus Infections|Pneumonia, Viral|Dyspnea","Drug: Nitric Oxide","Reduction in the incidence of intubation and mechanical ventilation|Mortality|Negative conversion of COVID-19 RT-PCR from upper respiratory tract|Time to clinical recovery","Xijing Hospital|Fondazione IRCCS Ca' Granda, Ospedale Maggiore Policlinico","All","18 Years and older   (Adult, Older Adult)","Phase 2","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","COVID19 NOgas mild","March 1, 2020","March 1, 2021","February 1, 2022","March 2, 2020",,"March 24, 2020",,,"https://ClinicalTrials.gov/show/NCT04290858"
1360,"NCT04383457","Covid-19 Triage Using Camera-based AI",,"Not yet recruiting","No Results Available","Coronavirus Infections","Device: RIA-device (Remote Investigation and Assessment)","Agreement between the new camera based method and reference standard to estimate body temperature|Agreement between the new camera based method and reference standard to estimate heart rate|Agreement between the new camera based method and reference standard to estimate blood oxygen saturation|Agreement between the new camera based method and reference standard to estimate systolic blood pressure|Agreement between the new camera based method and reference standard to estimate diastolic blood pressure|Agreement between the new camera based method and reference standard to estimate respiratory rate|Prediction of hospital admission using vital signs estimated using reference standard methods|Prediction of death using vital signs estimated using reference standard methods|Prediction of hospital admission using vital signs estimated using the new camera based method|Prediction of death using vital signs estimated using the new camera based method|Prediction of hospital admission using raw camera data|Prediction of death using raw camera data","Vastra Gotaland Region|Detectivio AB","All","18 Years and older   (Adult, Older Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","U1111-1251-4114","May 2020","December 2020","December 2020","May 12, 2020",,"May 12, 2020","Östra Sjukhuset, Gothenburg, Sweden",,"https://ClinicalTrials.gov/show/NCT04383457"
1361,"NCT04383470","Collaborative Outcomes Study on Health and Functioning During Infection Times During COVID-19 Pandemic","COH-FIT","Recruiting","No Results Available","Mental Health Wellness 1|Pandemic",,"Mental health symptoms, well-being change from last 2 weeks before the pandemic to last 2 weeks during COVID-19 pandemic|Mental health symptoms, well-being change from last 2 weeks before the pandemic to last 2 weeks 6 months after WHO declares pandemic over COVID-19 pandemic|Mental health symptoms change, well-being change from last 2 weeks before the pandemic to last 2 weeks 12 months after WHO declares pandemic over COVID-19 pandemic|Change in alcohol abuse, as change in units used from last 2 weeks before the pandemic to last 2 weeks during pandemic|Change in cigarettes use, as change in number of cigarettes per day from last 2 weeks before the pandemic to last 2 weeks during pandemic|Change in grams of cannabinoids smoked from last 2 weeks before the pandemic to last 2 weeks during pandemic|Change in general physical health, self-rated, on a VAS scale from 0 to 100.|Change in general mental health, self-rated, on a VAS scale from 0 to 100.|Change in easiness of access to care, self-rated a on a VAS scale from 0 to 100.|Change in medication adherence, self-rated a on a VAS scale from 0 to 100.|Change in functioning in self-care, school/work, social, and family, self-rated a on a VAS scale from 0 to 100.","University of Padova|Northwell Health|Donald and Barbara Zucker School of Medicine at Hofstra/Northwell","All","6 Years and older   (Child, Adult, Older Adult)",,"100000","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional","COH-FIT","April 26, 2020","December 2021","June 2022","May 12, 2020",,"May 14, 2020","Aristotle University of Thessaloniki, Thessaloníki, Greece",,"https://ClinicalTrials.gov/show/NCT04383470"
1362,"NCT04376684","Investigating Otilimab in Patients With Severe Pulmonary COVID-19 Related Disease","OSCAR","Not yet recruiting","No Results Available","Severe Acute Respiratory Syndrome","Biological: Otilimab|Biological: Placebo|Drug: Standard of care","Proportion of participants alive and free of respiratory failure at Day 28|Number of deaths due to all causes at Day 60|Time to number of deaths due to all causes at Day 60|Proportion of participants alive and free of respiratory failure at Day 7|Proportion of participants alive and free of respiratory failure at Day 14|Proportion of participants alive and free of respiratory failure at Day 42|Proportion of participants alive and free of respiratory failure at Day 60|Time to recovery from respiratory failure|Proportion of participants alive and independent of supplementary oxygen at Day 7|Proportion of participants alive and independent of supplementary oxygen at Day 14|Proportion of participants alive and independent of supplementary oxygen at Day 28|Proportion of participants alive and independent of supplementary oxygen at Day 42|Proportion of participants alive and independent of supplementary oxygen at Day 60|Time to last dependence on supplementary oxygen|Proportion of participants admitted to Intensive Care Unit (ICU)|Time to final Intensive Care Unit (ICU) discharge|Time to final hospital discharge|Number of participants with Adverse events (AEs) and Serious adverse events (SAEs)","GlaxoSmithKline","All","18 Years to 79 Years   (Adult, Older Adult)","Phase 2","800","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","214094","May 28, 2020","December 21, 2020","December 21, 2020","May 6, 2020",,"May 25, 2020",,,"https://ClinicalTrials.gov/show/NCT04376684"
1363,"NCT04359875","A Phone-call With a Student/General Practitioner Team to Impact Morbidity of Chronic Patients During COVID-19 Containment","COVIQuest","Not yet recruiting","No Results Available","Cardiovascular Diseases|Mental Disorder","Behavioral: Phone-call screening and management by a medical student/general practitioner tandem","Hospitalization(s) at 1 month|Phone-call from the general practitioner (in the experimental group only)|Mortality at 1 month|Use of primary care|Use of secondary care|Number of prescriptions related to the chronic disease dispensed by the pharmacy|Number of hospitalization(s)|Time to hospitalization(s)|Hospitalization(s)' durations|Reasons for hospitalization(s)|Mortality at 6 months|Cardiovascular events (MACE)|Psychotropic drugs","University Hospital, Tours","All","18 Years to 110 Years   (Adult, Older Adult)","Not Applicable","22000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","2020-CD-COVIQuest (COVID-19)","April 2020","June 2020","December 2020","April 24, 2020",,"April 24, 2020","Dibao-Dina, Tours, France",,"https://ClinicalTrials.gov/show/NCT04359875"
1364,"NCT04387968","Epidemiological Study of the Covid-19 Presto Test","COVIDOR","Not yet recruiting","No Results Available","Coronavirus Infection","Diagnostic Test: Covid-19 presto test","o study the prevalence of Covid-19 infection, coronavirus (SARS coronavirus-2) in territorial agents in the 3 structures Department, 45 and CDG Orleans Metropolitan|Determine if there is a relationship between the profession carried out by the agents of the territorial community of Orleans metropolis, the Department, the Loiret Management Center and contamination by covid-19","Raphael Serreau|François Rabelais University|Orléans Métropole Service de Médecine Préventive","All","18 Years to 65 Years   (Adult, Older Adult)",,"700","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Prospective","2020-A01414-35","June 18, 2020","June 18, 2021","January 18, 2022","May 14, 2020",,"May 14, 2020","Unité de Recherche PARADICT-O - Service de Médecine - Orléans Métropole, Orléans, France",,"https://ClinicalTrials.gov/show/NCT04387968"
1365,"NCT04322487","Simple, Safe, Same: Lung Ultrasound for COVID-19","LUSCOVID19","Recruiting","No Results Available","Coronavirus|Epidemic Disease|Pneumonia, Viral","Diagnostic Test: Lung ultrasound","Lung ultrasound grading system for COVID-19 pneumonia","Catholic University of the Sacred Heart|Valle del Serchio General Hospital, Lucca, Italy|University of Trento, Trento, Italy|Fondazione IRCCS Policlinico San Matteo, University of Pavia, Pavia, Italy|Bresciamed, Brescia, Italy|118 USL Nordovest Toscana, Lucca, Italy|General Hospital, Voghera, Italy|Lodi General Hospital, Lodi, Italy","All","Child, Adult, Older Adult",,"100","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","0013226/20","April 8, 2020","December 31, 2020","January 15, 2021","March 26, 2020",,"April 17, 2020","Bresciamed, Brescia, Italy|Pulmonary Medicine Unit, Lodi General Hospital, Lodi, Italy|118 USL Nordovest Toscana, Lucca, Italy|Diagnostic and Interventional Ultrasound Unit, Valle del Serchio General Hospital, Lucca, Italy|Emergency Department, Fondazione IRCCS Policlinico San Matteo, and Department of Internal Medicine and Therapeutics, University of Pavia, Pavia, Italy|Department of woman and child health and public health, Fondazione Policlinico Universitario A. Gemelli IRCCS, Roma, Italy|Pulmonary Medicine Unit, Dept. Medical and Surgical Sciences, Fondazione Policlinico Universitario A. Gemelli IRCCS, Roma, Italy|Department of Information Engineering and Computer Science, Ultrasound Laboratory Trento, University of Trento, Trento, Italy|Emergency Medicine Unit, General Hospital, Voghera, Italy",,"https://ClinicalTrials.gov/show/NCT04322487"
