"Rank","Title","Status","Study Results","Conditions","Interventions","Locations","URL"
1101,"Study of TJ003234 (Anti-GM-CSF Monoclonal Antibody) in Subjects With Severe Coronavirus Disease 2019 (COVID-19)","Recruiting","No Results Available","Coronavirus Disease 2019 COVID-19","Drug: TJ003234|Drug: Placebo","The GW Medical Faculty Associates, Washington, District of Columbia, United States|OSF Healthcare Saint Francis Medical Center, Peoria, Illinois, United States|Indiana University Health, Indianapolis, Indiana, United States|Medpharmics, LLC, Metairie, Louisiana, United States|Ochsner Medical Center, New Orleans, Louisiana, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Oregon Health and Science University, Portland, Oregon, United States|Temple Univeristy Hospital, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04341116"
1102,"COVID-19 Convalescent Plasma","Active, not recruiting","No Results Available","Coronavirus","Biological: anti-SARS-CoV-2 convalescent plasma","University of Chicago Medicine, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT04340050"
1103,"Elimination or Prolongation of ACE Inhibitors and ARB in Coronavirus Disease 2019","Enrolling by invitation","No Results Available","COVID-19","Other: Discontinuation of ARB/ACEI|Other: Continuation of ARB/ACEI","University of Pennsylvania Health System, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04338009"
1104,"Clinical and Radiomic Model of COVID-19","Completed","No Results Available","Coronavirus|Machine Learning","Diagnostic Test: Machine learning model","The central hospital of Wuhan, Wuhan, Hubei, China","https://ClinicalTrials.gov/show/NCT04337502"
1105,"Remote Monitoring Use In Cases Of Suspected COVID-19 (Coronavirus)","Not yet recruiting","No Results Available","Coronavirus","Device: SensiumVitals wearable sensor",,"https://ClinicalTrials.gov/show/NCT04337489"
1106,"Renin Angiotensin System - CoronaVirus","Recruiting","No Results Available","COVID 19","Other: blood draw","ASSISTANCE PUBLIQUE HÖPITAUX de MARSEILLE, Marseille, France","https://ClinicalTrials.gov/show/NCT04337008"
1107,"Telerehabilitation in Individuals Over 65 Years of Age Having Social Isolation Due to Coronavirus (Covid-19)","Not yet recruiting","No Results Available","Telerehabilitation","Other: Telerehabilitation","Istanbul university Cerrahpasa, Istanbul, Turkey","https://ClinicalTrials.gov/show/NCT04334434"
1108,"Telephony Or Videophony for Isolated elDerly in Maine-Et-Loire 49 During COVID-19","Recruiting","No Results Available","Coronavirus",,"Angers University Hospital, Angers, France","https://ClinicalTrials.gov/show/NCT04333849"
1109,"An Observational Study of Patients With Coronavirus Disease 2019","Recruiting","No Results Available","COVID-19|Coronavirus",,"University of Washington, Seattle, Washington, United States","https://ClinicalTrials.gov/show/NCT04331886"
1110,"Impact of the Coronavirus (COVID-19) on Patients With Cancer","Not yet recruiting","No Results Available","Cancer|COVID-19",,,"https://ClinicalTrials.gov/show/NCT04330521"
1111,"Clinical Characteristics and Prognostic Factors of Patients With COVID-19","Recruiting","No Results Available","Coronavirus","Other: retrospective analysis","Shanghai 10th People's Hospital, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT04328454"
1112,"Hydroxychloroquine Versus Placebo in COVID-19 Patients at Risk for Severe Disease","Recruiting","No Results Available","Coronavirus","Drug: Hydroxychloroquine|Drug: Placebo","CH Agen, Agen, France|CHU Amiens, Amiens, France|CHU Angers, Angers, France|CH Auxerre, Auxerre, France|APHP Avicenne, Bobigny, France|CHU Brest, Brest, France|CHU Caen, Caen, France|CH Chalon Sur Saône, Chalon Sur Saône, France|CH Cherbroug, Cherbourg, France|CH Cholet, Cholet, France|CH Colmar, Colmar, France|CH Compiègne, Compiègne, France|APHP Henri Mondor, Créteil, France|CH Intercommunal Créteil, Créteil, France|CHU Dijon, Dijon, France|APHP Joffre Dupuytren, Draveil, France|CHD Vendée, La Roche-sur-Yon, France|CH Laval, Laval, France|CH Le Mans, Le Mans, France|CH Emile Roux, Le Puy-en-Velay, France|APHP Emile ROUX, Limeil-Brevannes, France|CHU Limoges, Limoges, France|CH Lorient, Lorient, France|Hôpital Européen - Marseille, Marseille, France|Hôpital Saint-Joseph, Marseille, France|CH Melun, Melun, France|CHU Nantes, Nantes, France|Hôpital Privé du Confluent, Nantes, France|CH Niort, Niort, France|CHR Orléans, Orléans, France|APHP Saint-Antoine, Paris, France|GH Croix Saint Simon, Paris, France|La Pitié-Salpétrière, Paris, France|CHU Poitiers, Poitiers, France|CH Pointoise, Pontoise, France|CH Quimper, Quimper, France|CH Saint-Brieuc, Saint-Brieuc, France|CH Saint-Nazaire, Saint-Nazaire, France|CHU Saint-Etienne, Saint-Étienne, France|CHU Toulouse, Toulouse, France|CH Tourcoing, Tourcoing, France|CHU Tours, Tours, France|CH Valenciennes, Valenciennes, France|Clinique Tessier Valenciennes, Valenciennes, France|CH Vannes, Vannes, France|CH Versailles, Versailles, France|CH Princesse Grace, Monaco, Monaco","https://ClinicalTrials.gov/show/NCT04325893"
1113,"A Study of a Candidate COVID-19 Vaccine (COV001)","Active, not recruiting","No Results Available","Coronavirus","Biological: ChAdOx1 nCoV-19|Biological: MenACWY|Biological: ChAdOx1 nCoV-19 boost|Drug: Paracetamol","University Hospital Southampton NHS Foundation Trust, Southampton, Hampshire, United Kingdom|University Hospitals Bristol and Weston NHS Foundation Trust, Bristol, United Kingdom|St Georges University Hospital NHS Foundation Trust, London, United Kingdom|Imperial College Healthcare NHS Trust, London, United Kingdom|CCVTM, University of Oxford, Churchill Hospital, Oxford, United Kingdom|John Radcliffe Hospital, Oxford, United Kingdom","https://ClinicalTrials.gov/show/NCT04324606"
1114,"COVID-19 PRIORITY (Pregnancy CoRonavIrus Outcomes RegIsTrY)","Recruiting","No Results Available","Pregnancy|Coronavirus|COVID-19","Other: Pregnant women under investigation for Coronavirus or diagnosed with COVID-19|Other: Postpartum women under investigation for Coronavirus or diagnosed with COVID-19","University of California, San Francisco, San Francisco, California, United States","https://ClinicalTrials.gov/show/NCT04323839"
1115,"Outcomes of Surgery in COVID-19 Infection: International Cohort Study (CovidSurg)","Recruiting","No Results Available","COVID-19|Coronavirus|Surgery","Procedure: Surgery","Hospital del Henares, Madrid, Spain","https://ClinicalTrials.gov/show/NCT04323644"
1116,"Efficacy of Natural Honey Treatment in Patients With Novel Coronavirus","Recruiting","No Results Available","COVID-19","Dietary Supplement: Natural Honey|Other: Standard Care","Mahmoud Tantawy, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT04323345"
1117,"Risk Factors for Community- and Workplace Transmission of COVID-19","Recruiting","No Results Available","Coronavirus","Behavioral: Observation of behavior and COVID-19 infection will be conducted.","Oslo University Hospital, Oslo, Norway","https://ClinicalTrials.gov/show/NCT04320732"
1118,"Effects of Social Isolation From Coronavirus; on Physical Activity, Quality of Life and Stress","Not yet recruiting","No Results Available","Healthy People","Other: Determination of physical activity, quality of life, stress levels of isolated people at home with the danger of coronavirus.","Istanbul University Cerrahpasa, Istanbul, Turkey","https://ClinicalTrials.gov/show/NCT04319211"
1119,"Multicentric Study of Coronavirus Disease 2019 (COVID-2019) in Solid Organ Transplant Recipients","Not yet recruiting","No Results Available","Transplant Recipient|Infections, Coronavirus",,,"https://ClinicalTrials.gov/show/NCT04319172"
1120,"CD24Fc as a Non-antiviral Immunomodulator in COVID-19 Treatment","Recruiting","No Results Available","Severe Coronavirus Disease (COVID-19)","Drug: CD24Fc|Drug: Placebo","Baptist Health Research Institute, Jacksonville, Florida, United States|Martin Army Community Hospital, Fort Benning, Georgia, United States|Anne Anundel Medical Center, Annapolis, Maryland, United States|Institute of Human Virology, University of Maryland Baltimore, Baltimore, Maryland, United States|Shady Grove Medical Center, Rockville, Maryland, United States|White Oak Medical Center, Silver Spring, Maryland, United States|Henry Ford Health System, Detroit, Michigan, United States|Cooper University Hospital, Camden, New Jersey, United States|Atlantic Health System, Morristown, New Jersey, United States|University Hospitals of Cleveland, Cleveland, Ohio, United States|The Ohio State University Medical Center, Columbus, Ohio, United States|Thomas Jefferson University Medical Center, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT04317040"
1121,"Development and Verification of a New Coronavirus Multiplex Nucleic Acid Detection System","Not yet recruiting","No Results Available","COVID-19","Diagnostic Test: New QIAstat-Dx fully automatic multiple PCR detection platform","Huashan Hospital of Fudan University, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT04311398"
1122,"Comparison of Lopinavir/Ritonavir or Hydroxychloroquine in Patients With Mild Coronavirus Disease (COVID-19)","Terminated","No Results Available","COVID-19","Drug: Lopinavir/ritonavir|Drug: Hydroxychloroquine sulfate","Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04307693"
1123,"Chloroquine/ Hydroxychloroquine Prevention of Coronavirus Disease (COVID-19) in the Healthcare Setting","Recruiting","No Results Available","COVID19|Coronavirus|Acute Respiratory Illnesses","Drug: Chloroquine or Hydroxychloroquine|Drug: Placebo","Faculty of Tropical Medicine, Mahidol University, Bangkok, Thailand","https://ClinicalTrials.gov/show/NCT04303507"
1124,"Medical Masks vs N95 Respirators for COVID-19","Not yet recruiting","No Results Available","Coronavirus|N95|Medical Mask","Device: Medical Mask|Device: N95 respirator",,"https://ClinicalTrials.gov/show/NCT04296643"
1125,"Eculizumab (Soliris) in Covid-19 Infected Patients","Available","No Results Available","Coronavirus","Drug: Eculizumab",,"https://ClinicalTrials.gov/show/NCT04288713"
1126,"Humanistic Care in Healthcare Workers in Coronavirus Disease 2019","Withdrawn","No Results Available","Coronavirus Disease 2019","Behavioral: Humanistic Care",,"https://ClinicalTrials.gov/show/NCT04283838"
1127,"Humanistic Care in Patients With Coronavirus Disease 2019","Withdrawn","No Results Available","Coronavirus Disease 2019","Behavioral: Psychological and physical rehabilitation based humanistic care",,"https://ClinicalTrials.gov/show/NCT04283825"
1128,"Clinical Outcomes of Patients With COVID19","Withdrawn","No Results Available","Coronavirus Disease 2019","Other: retrospective analysis","HuiZhou Municipal Central Hospital, Huizhou, Guangdong, China","https://ClinicalTrials.gov/show/NCT04280913"
1129,"Fingolimod in COVID-19","Recruiting","No Results Available","Coronavirus Disease (COVID-19)","Drug: Fingolimod 0.5 mg","Wan-Jin Chen, Fuzhou, China","https://ClinicalTrials.gov/show/NCT04280588"
1130,"Detection of 2019 Novel Coronavirus in Multiple Organ System and Its Relationship With Clinical Manifestations","Recruiting","No Results Available","Coronavirus",,"The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China","https://ClinicalTrials.gov/show/NCT04279795"
1131,"Viral Excretion in Contact Subjects at High/Moderate Risk of Coronavirus 2019-nCoV Infection. COVID-19.","Recruiting","No Results Available","Coronavirus","Biological: 2019-nCoV PCR","Service de maladies infectieuses et tropicales Hôpital Jean Minjoz CHRU Besançon, Besançon, France|Service des Maladies infectieuses et tropicales, Pôle Spécialités médicales, CHU Pellegrin, Bordeaux, France|Service des maladies infectieuses Hôpital Gabriel Montpied CHU de Clermont Ferrand, Clermont-Ferrand, France|Centre d'investigation clinique 1432 Hôpital François Mitterrand CHU Bourgogne, Dijon, France|Centre d'investigation clinique 1406 CHU Grenoble, Grenoble, France|Centre d'Investigation Clinique 1403 -CHU Lille, Lille, France|Centre Investigation Clinique 1433 CHRU de NANCY, Nancy, France|Centre d'investigation clinique Infectiologie Hôtel-Dieu CHU Nantes, Nantes, France|Centre d'Investigation Clinique Hôpital Saint Louis, Paris, France|Centre d'investigation Clinique 1425, Hôpital Bichat Claude Bernard, Paris, France|Centre Investigation Clinique 1417 Hôpital Cochin Bâtiment Lavoisier, Paris, France|Centre d'investigation clinique 1414 Service de Pharmacologie clinique CHU Rennes Hôpital Pontchaillou, Rennes, France|Centre Hospitalier Félix Guyon Ile de la Réunion CHU nord, Saint Denis, France|Centre d'Investigation Clinique Ile de la Réunion CHU sud, Saint-Pierre, France|Département maladie infectieux CHU Saint Etienne, Saint-Étienne, France|Centre Investigation Clinique 1415 CHRU Tours - Hôpital Bretonneau, Tours, France|Service de Maladies infectieuses et tropicales Centre hospitalier, Cayenne, French Guiana","https://ClinicalTrials.gov/show/NCT04259892"
1132,"Development of a Simple, Fast and Portable Recombinase Aided Amplification Assay for 2019-nCoV","Recruiting","No Results Available","New Coronavirus","Diagnostic Test: Recombinase aided amplification (RAA) assay","Department of Hepatology Division 2, Beijing Ditan Hospital, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04245631"
1133,"Randomized, Double-blind, Placebo-controlled, Phase Ib Study to Assess the Safety and Immunogenicity of MVA-MERS-S_DF-1","Not yet recruiting","No Results Available","MERS (Middle East Respiratory Syndrome)","Biological: MVA-MERS-S_DF1 - Low Dose|Biological: MVA-MERS-S_DF1 - High Dose|Other: Placebo","CTC North, Hamburg, Germany|Erasmus Medical Centre, Rotterdam, Netherlands","https://ClinicalTrials.gov/show/NCT04119440"
1134,"Lessening Organ Dysfunction With VITamin C","Recruiting","No Results Available","Sepsis|Vitamin C|Intensive Care Unit|COVID-19|Pandemic|Coronavirus","Drug: Vitamin C|Other: Control","Research Center of the CHUS, Sherbrooke, Quebec, Canada","https://ClinicalTrials.gov/show/NCT03680274"
1135,"Safety, Tolerability and Immunogenicity of Vaccine Candidate MVA-MERS-S","Completed","No Results Available","MERS (Middle East Respiratory Syndrome)","Biological: vaccine candidate MVA-MERS-S","CTC North GmbH & Co. KG at the University Medical Center Hamburg-Eppendorf, Hamburg, Germany","https://ClinicalTrials.gov/show/NCT03615911"
1136,"MERS-CoV Infection tReated With A Combination of Lopinavir /Ritonavir and Interferon Beta-1b","Completed","No Results Available","Middle East Respiratory Syndrome Coronavirus (MERS-CoV)","Drug: Combination of Lopinavir /Ritonavir and Interferon beta-1b|Drug: Placebo","Intensive Care Unit, King Abdulaziz Medical City, National Guard Health Affairs, Riyadh, Saudi Arabia|King Abdullah International Medical Research Center, Riyadh, Saudi Arabia","https://ClinicalTrials.gov/show/NCT02845843"
1137,"Safety, Tolerability, and Pharmacokinetics of SAB-301 in Healthy Adults","Completed","Has Results","Middle East Respiratory Syndrome Coronavirus","Biological: SAB-301|Other: Normal (9%) Saline","National Institutes of Health Clinical Center, Bethesda, Maryland, United States","https://ClinicalTrials.gov/show/NCT02788188"
1138,"Assessment of the Psycho-social Impact of COVID-19 Outbreak","Recruiting","No Results Available","SARS-CoV 2|COVID-19|Quality of Life|Mental Health Wellness 1|Social Distance|SARS (Disease)|Psychological","Behavioral: COM-COVID anonimous survey","Fundació Institut Germans Trias i Pujol, Badalona, Catalonia, Spain|Fundació Lluita contra la Sida (FLS, Fight AIDS Foundation), Badalona, Catalonia, Spain|Anaxomics biotech, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT04378452"
1139,"COVID-19 and Pregnancy Outcomes","Recruiting","No Results Available","Coronavirus Infection|Pregnancy Complications|Vertical Transmission of Infectious Disease|Breastfeeding|Neonatal Infection","Diagnostic Test: RT PCR SARS-CoV-2","Nova Medical School - UNL, Lisbon, Portugal","https://ClinicalTrials.gov/show/NCT04416373"
1140,"A Study of APL-9 in Adults With Mild to Moderate ARDS Due to COVID-19","Recruiting","No Results Available","COVID|Covid-19|Coronavirus|Coronavirus Infection|Severe Acute Respiratory Syndrome|Severe Acute Respiratory Syndrome Coronavirus 2|Sars-CoV2|Ards|Acute Respiratory Distress Syndrome","Drug: APL-9|Other: Vehicle Control","Westchester General Hospital, Miami, Florida, United States|Norton Women's and Children's Hospital, Louisville, Kentucky, United States|Audobon Hospital, Louisville, Kentucky, United States|University at Buffalo, Buffalo, New York, United States","https://ClinicalTrials.gov/show/NCT04402060"
1141,"COVid-19: Awake Proning and High-flow Nasal Cannula in respiratorY DistrEss","Recruiting","No Results Available","Coronavirus Infection|COVID|Severe Acute Respiratory Syndrome|Respiratory Failure|Respiratory Insufficiency|Respiratory Distress Syndrome|ARDS|Lung Diseases","Procedure: Awake Prone Positioning|Procedure: Standard care","Hôpital de Verdun, Montréal, Quebec, Canada","https://ClinicalTrials.gov/show/NCT04395144"
1142,"SARSCoV2 (COVID-19) Convalescent Plasma (CP) Expanded Access Protocol (EAP)","Available","No Results Available","COVID|SARSCoV2 Convalescent Plasma","Biological: SARSCoV2 Convalescent Plasma","AdventHealth Orlando, Orlando, Florida, United States","https://ClinicalTrials.gov/show/NCT04374370"
1143,"Amotosalen-Ultraviolet A Pathogen-Inactivated Convalescent Plasma in Addition to Best Supportive Care and Antiviral Therapy on Clinical Deterioration in Adults Presenting With Moderate to Severe COVID-19","Recruiting","No Results Available","Coronavirus Disease 2019 Infectious Disease (COVID-19 Infection)","Other: convalescent plasma application to SARS-CoV-2 infected patients","Blutspendezentrum SRK beider Basel, University Hospital Basel, Basel, Switzerland","https://ClinicalTrials.gov/show/NCT04389944"
1144,"Epidemiology of Acute Kidney Injury in COVID19 Disease in United Kingdom","Not yet recruiting","No Results Available","COVID|AKI","Other: acute kidney injury","Derby Hospital NHS Foundation Trust, Derby, Derbyshire, United Kingdom","https://ClinicalTrials.gov/show/NCT04407156"
1145,"Treatment of Covid-19 Associated Pneumonia With Allogenic Pooled Olfactory Mucosa-derived Mesenchymal Stem Cells","Enrolling by invitation","No Results Available","COVID|Covid-19|Coronavirus|Pneumonia|Pneumonia, Viral|Pneumonia, Interstitial|Sars-CoV2","Biological: Allogenic pooled olfactory mucosa-derived mesenchymal stem cells|Other: Standard treatment according to the Clinical protocols","Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus, Minsk, Belarus","https://ClinicalTrials.gov/show/NCT04382547"
1146,"Mavrilimumab in Severe COVID-19 Pneumonia and Hyper-inflammation (COMBAT-19)","Not yet recruiting","No Results Available","Covid-19|Acute Respiratory Failure|ARDS, Human|Sars-CoV2|Viral Pneumonia","Drug: Mavrilimumab|Drug: Placebo","IRCCS Policlinico San Donato, San Donato, MI, Italy|IRCCS Ospedale San Raffaele, Milano, Italy|IRCCS Istituto Ortopedico Galeazzi, Milano, Italy","https://ClinicalTrials.gov/show/NCT04397497"
1147,"COVID-19: BCG As Therapeutic Vaccine, Transmission Limitation, and Immunoglobulin Enhancement","Not yet recruiting","No Results Available","COVID-19|Therapeutic Vaccine|BCG|SARS-CoV 2|Transmission","Biological: BCG|Biological: Placebo","Hospital das Clínicas Unicamp, Campinas, SP, Brazil","https://ClinicalTrials.gov/show/NCT04369794"
1148,"Steroid Dosing by bioMARker Guided Titration in Critically Ill Patients With Pneumonia","Recruiting","No Results Available","Pneumonia","Drug: Methylprednisolone|Other: Usual Care","Mayo Clinic in Rochester, Rochester, Minnesota, United States","https://ClinicalTrials.gov/show/NCT03852537"
1149,"Prophylactic Corticosteroid to Prevent COVID-19 Cytokine Storm","Recruiting","No Results Available","Covid-19","Drug: MethylPREDNISolone 80 Mg/mL Injectable Suspension","San Juan City Hospital / Puerto Rico Medical Center, San Juan, Puerto Rico|Hospital Auxilio Mutuo Cancer Center, San Juan, Puerto Rico","https://ClinicalTrials.gov/show/NCT04355247"
1150,"Treatment of COVID-19 Patients Using Wharton's Jelly-Mesenchymal Stem Cells","Recruiting","No Results Available","Use of Stem Cells for COVID-19 Treatment","Biological: WJ-MSCs","Stem Cells Arabia, Amman, Jordan","https://ClinicalTrials.gov/show/NCT04313322"
1151,"Use of UC-MSCs for COVID-19 Patients","Recruiting","No Results Available","Corona Virus Infection|ARDS|ARDS, Human|Acute Respiratory Distress Syndrome|COVID-19","Biological: Umbilical Cord Mesenchymal Stem Cells|Other: Standard of Care","Diabetes Research Institute, University of Miami Miller School of Medicine, Miami, Florida, United States","https://ClinicalTrials.gov/show/NCT04355728"
1152,"Risk of Venous Thromboembolism in Critically Ill Patients With Severe COVID-19","Completed","No Results Available","COVID-19|Critical Illness|Venous Thromboembolism|Venous Thromboses|Venous Thromboses, Deep|Venous Thrombosis Pulmonary|Pulmonary Embolism|Pulmonary Embolism and Thrombosis|Sars-CoV2|SARS-CoV Infection","Diagnostic Test: Duplex ultrasound and Computed Tomography Angiography","Vall d´Hebron Research Institute VHIR, Barcelona, Catalunya, Spain|Hospital Germans Trias i Pujol. Universitat Autònoma de Barcelona, Badalona, Spain|Hospital Universitari Vall d'Hebron. Universitat Autonoma de Barcelona, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT04374617"
1153,"Natural Killer Cell (CYNK-001) Infusions in Adults With COVID-19 (CYNK-001-COVID-19)","Recruiting","No Results Available","Coronavirus|Coronavirus Infection|Severe Acute Respiratory Syndrome Coronavirus 2|Pneumonia|Pneumonia, Viral|Lung Diseases|Respiratory Tract Disease|Respiratory Tract Infections|Coronaviridae Infections|Nidovirales Infections|RNA Virus Infections|Virus Disease|Immunologic Disease|ARDS|Immunologic Factors|Physiological Effects of Drugs|Antiviral Agents|Anti-infective Agents|Analgesics|Antimetabolites, Antineoplastic","Biological: CYNK-001","Hackensack University Medical Center, Hackensack, New Jersey, United States|Multicare Health System, Tacoma, Washington, United States","https://ClinicalTrials.gov/show/NCT04365101"
1154,"Prone Positioning and High-flow Nasal Cannula in COVID-19 Induced ARDS","Recruiting","No Results Available","COVID|ARDS|Acute Respiratory Distress Syndrome|Acute Respiratory Failure|Corona Virus Infection","Other: Prone position","Hospital Universitari Vall d'Hebron, Barcelona, Spain","https://ClinicalTrials.gov/show/NCT04391140"
1155,"Evaluating the Use of Polymyxin B Cartridge Hemoperfusion for Patients With Septic Shock and COVID 19","Available","No Results Available","Septic Shock|Endotoxemia|COVID|Corona Virus Infection|Sepsis, Severe","Device: Toraymyxin PMX-20R (PMX Cartridge)","George Washington University, Washington, District of Columbia, United States|Stony Brook University Hospital, Stony Brook, New York, United States","https://ClinicalTrials.gov/show/NCT04352985"
1156,"Compare CE-Budesonide Nasal Solution & Rhinocort Aqua in an EEC Study of AR","Completed","No Results Available","Seasonal Allergic Rhinitis","Drug: Budesonide|Drug: Placebo","Allied Research International - Cetero Research, Mississauga, Ontario, Canada","https://ClinicalTrials.gov/show/NCT00938613"
1157,"Telerehabilitation in Patients With COVID-19 After Hospitalization. The ATHLOS Study","Recruiting","No Results Available","COVID-19|Comorbidities and Coexisting Conditions","Device: Telerehabilitation","Clinical exercise Physiology and rehabilitation research laboratory, Lamia, Greece","https://ClinicalTrials.gov/show/NCT04368845"
1158,"Efficacy and Safety of Dipeptidyl Peptidase-4 Inhibitors in Diabetic Patients With Established COVID-19","Not yet recruiting","No Results Available","COVID 19|Coronavirus|Diabetes Mellitus, Type 2|Diabetes Mellitus|Glucose Metabolism Disorders|Metabolic Disease|Endocrine System Diseases|Dipeptidyl-Peptidase IV Inhibitors|Linagliptin|Severe Acute Respiratory Syndrome Coronavirus 2|Sars-CoV2|Hypoglycemic Agents|Respiratory Tract Diseases|Incretins|Hormones","Drug: Linagliptin 5 MG","Rabin Medical Center, Petah tikva, Israel","https://ClinicalTrials.gov/show/NCT04371978"
1159,"A Phase 3 Study to Evaluate the Efficacy of Lifitegrast in Subjects With Dry Eye","Completed","Has Results","Dry Eye Disease","Drug: Lifitegrast|Drug: Placebo","OPUS-2 Investigational Site, Artesia, California, United States|OPUS-2 Investigational Site, Hemet, California, United States|OPUS-2 Investigational Site, Lancaster, California, United States|OPUS-2 Investigational Site, Mission Hills, California, United States|OPUS-2 Investigational Site, Montebello, California, United States|OPUS-2 Investigational Site, Newport Beach, California, United States|OPUS-2 Investigational Site, Petaluma, California, United States|OPUS-2 Investigational SIte, Rancho Cordova, California, United States|OPUS-2 Investigational Site, Danbury, Connecticut, United States|OPUS-2 Investigational Site, Fort Myers, Florida, United States|OPUS-2 Investigational Site, Hoffman Estates, Illinois, United States|OPUS-2 Investigational Site, Indianapolis, Indiana, United States|OPUS-2 Investigational Site, New Albany, Indiana, United States|OPUS-2 Investigational Site, Lexington, Kentucky, United States|OPUS-2 Investigational Site, Saint Paul, Minnesota, United States|OPUS-2 Investigational Site, Chesterfield, Missouri, United States|OPUS-2 Investigational Site, Des Peres, Missouri, United States|OPUS-2 Investigational Site, Independence, Missouri, United States|OPUS-2 Investigational Site, Kansas City, Missouri, United States|OPUS-2 Investigational Site, Washington, Missouri, United States|OPUS-2 Investigational Site, New York, New York, United States|OPUS-2 Investigational Site, New York, New York, United States|OPUS-2 Investigational Site, Wantagh, New York, United States|OPUS-2 Investigational Site, Cleveland, Ohio, United States|OPUS-2 Investigational Site, Philadelphia, Pennsylvania, United States|OPUS-2 Investigational Site, Houston, Texas, United States|OPUS-2 Investigational Site, Houston, Texas, United States|OPUS-2 Investigational Site, League City, Texas, United States|OPUS-2 Investigational Site, San Antonio, Texas, United States|OPUS-2 Investigational Site, San Antonio, Texas, United States|OPUS-2 Investigational Site, Norfolk, Virginia, United States","https://ClinicalTrials.gov/show/NCT01743729"
1160,"FAvipiravir and HydroxyChloroquine Combination Therapy","Not yet recruiting","No Results Available","COVID19","Combination Product: Favipiravir and Hydroxychloroquine","King Abdulaziz Medical City, National Guard Health Affairs, Riyadh, Saudi Arabia","https://ClinicalTrials.gov/show/NCT04392973"
1161,"Association Between Long-term Hydroxychloroquine Treatment and Outcome of a History of Symptoms Suggestive of COVID-19 Infection During the Epidemic Period in France in Patients With Autoimmune Disease","Active, not recruiting","No Results Available","SARS-CoV-2|Systemic Lupus Erythematosus|Rheumatoid Arthritis|Sjogren's Syndrome|Psoriatic Arthritis","Other: Questionnaire by phone call","Fondation Adolphe de Rothschild, Paris, France","https://ClinicalTrials.gov/show/NCT04345159"
1162,"ICBT for Mental Health Problems Related to the Coronavirus Pandemic","Recruiting","No Results Available","Depression and Quality of Life Related to the Coronavirus Pandemic","Behavioral: Intervention group CoronaCope","Linköping University, Linköping, Östergötland, Sweden","https://ClinicalTrials.gov/show/NCT04424212"
1163,"Neurologic Manifestations of COVID-19","Not yet recruiting","No Results Available","Coronavirus Disease 2019",,,"https://ClinicalTrials.gov/show/NCT04386083"
1164,"Incidence of Covid-19 in School Children","Withdrawn","No Results Available","Infection; Viral, Coronavirus","Diagnostic Test: RT-PCR Covid-19","Hôpitaux Pédiatrique de Nice CHU Lenval, Nice, France","https://ClinicalTrials.gov/show/NCT04377737"
1165,"A Single-blinded, Randomized, Placebo Controlled Phase II Trial of Prophylactic Treatment With Oral Azithromycin Versus Placebo in Cancer Patients Undergoing Antineoplastic Treatment During the Corona Virus Disease 19 (COVID-19) Pandemic","Recruiting","No Results Available","COVID","Drug: Azithromycin 500 milligram (mg) oral Tablet|Drug: Placebo","AKH Vienna, Department for Internal Medicine I, Oncology, Vienna, Austria","https://ClinicalTrials.gov/show/NCT04369365"
1166,"Social Media and COVID-19","Recruiting","No Results Available","Coronavirus|Depression|Anxiety|Stress","Behavioral: Social media & news consumption","Yale-NUS College, Singapore, Singapore","https://ClinicalTrials.gov/show/NCT04367363"
1167,"Protective Effect of Aspirin on COVID-19 Patients","Enrolling by invitation","No Results Available","Novel Coronavirus Pneumonia|Aspirin|Treatment","Drug: Aspirin 100mg","Cai Yue, Xi'an, Shaanxi, China","https://ClinicalTrials.gov/show/NCT04365309"
1168,"The Ariel University Survey on Dietary Changes and Anxiety During the Coronavirus Pandemic","Recruiting","No Results Available","Dietary Habits|Anxiety",,"Ariel University, Ariel, Israel","https://ClinicalTrials.gov/show/NCT04353934"
1169,"Predictive Biomarkers of Secondary Aggravation in Covid-19 Suspect Patient","Not yet recruiting","No Results Available","Infection Viral|Coronavirus|COVID-19",,,"https://ClinicalTrials.gov/show/NCT04341792"
